Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-03; 00:00:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 53°; 63°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; 0°; 30°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-03; 00:01:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 53°; 63°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:02:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 53°; 63°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; 0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-03; 00:03:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 53°; 63°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; 0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-01-03; 00:04:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; 0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:05:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; 0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 20%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:06:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; 0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-01-03; 00:07:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; 0°; 29°; 30°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:08:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 30°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:09:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:10:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-01-03; 00:11:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:12:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:13:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; 0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:14:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; 0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-01-03; 00:15:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:16:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; 0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-01-03; 00:17:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-01-03; 00:18:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-01-03; 00:19:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-01-03; 00:20:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.21A; 
2025-01-03; 00:21:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-01-03; 00:22:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-01-03; 00:23:00; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:24:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:25:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-01-03; 00:26:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 404°; 70°; 28°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:27:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:28:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:29:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-01-03; 00:30:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:31:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 28°; 0%; -1°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
2025-01-03; 00:32:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 404°; 70°; 28°; 0%; -1°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:33:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 26°; 0%; -1°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:34:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:35:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:36:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:37:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:38:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-01-03; 00:39:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 404°; 70°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:40:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 70°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:41:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 69°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
2025-01-03; 00:42:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 404°; 70°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:43:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 69°; 26°; 0%; -1°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:44:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 69°; 26°; 0%; -1°; 29°; 29°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:45:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 69°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-03; 00:46:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 69°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.25A; 
2025-01-03; 00:47:01; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 52°; 62°; 70%; 0%; 0%; 0%; 86.7%; 405°; 69°; 26°; 0%; -1°; 29°; 28°; 40°; 40°; 127°; 127°; 11028; 16888h; 36°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.30A; 
