Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-11-28; 00:17:58; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 93°; 163°; 95%; 0%; 0%; 0%; 74.1%; 420°; 78°; 77°; 0%; 4°; 27°; 26°; 38°; 41°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.21A; 
2024-11-28; 00:18:58; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 92°; 161°; 95%; 0%; 0%; 0%; 74.1%; 419°; 78°; 77°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.30A; 
2024-11-28; 00:19:58; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 91°; 161°; 94%; 0%; 0%; 0%; 74.1%; 419°; 78°; 76°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.30A; 
2024-11-28; 00:20:58; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 90°; 163°; 93%; 0%; 0%; 0%; 74.1%; 418°; 78°; 76°; 0%; 4°; 27°; 26°; 38°; 40°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.19A; 
2024-11-28; 00:21:58; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 89°; 161°; 93%; 0%; 0%; 0%; 74.1%; 418°; 78°; 76°; 0%; 4°; 27°; 26°; 38°; 35°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.28A; 
2024-11-28; 00:22:58; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 88°; 167°; 92%; 0%; 0%; 0%; 74.1%; 417°; 78°; 76°; 0%; 4°; 27°; 26°; 38°; 43°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.19A; 
2024-11-28; 00:23:58; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 87°; 165°; 91%; 0%; 0%; 0%; 74.1%; 416°; 78°; 76°; 0%; 4°; 27°; 26°; 38°; 34°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.19A; 
2024-11-28; 00:24:58; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 87°; 166°; 91%; 0%; 0%; 0%; 74.1%; 416°; 78°; 76°; 0%; 4°; 27°; 26°; 38°; 34°; 127°; 127°; 10962; 16778h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.30A; 
2024-11-28; 00:25:58; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 86°; 172°; 91%; 0%; 0%; 0%; 74.1%; 416°; 78°; 75°; 0%; 4°; 27°; 26°; 38°; 36°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
2024-11-28; 00:26:58; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 85°; 169°; 90%; 0%; 0%; 0%; 74.1%; 415°; 77°; 75°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
