Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-04; 00:17:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 32°; 42°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:18:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:19:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-04; 00:20:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:21:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:22:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-04; 00:23:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:24:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:25:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:26:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:27:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:28:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:29:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:30:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:31:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-04; 00:32:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-04; 00:33:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:34:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:35:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:36:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:37:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-04; 00:38:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-04; 00:39:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:40:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:41:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 24°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:42:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-04; 00:43:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 33°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 60°; 42°; 0%; 9°; 0°; 24°; 0°; 23°; 127°; 127°; 10876; 16637h; 29°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
