Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-06-14; 00:00:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 46°; 0%; 16°; 0°; 24°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-14; 00:01:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 47°; 0%; 16°; 0°; 25°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2025-06-14; 00:02:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 47°; 0%; 16°; 0°; 24°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2025-06-14; 00:03:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 46°; 0%; 16°; 0°; 25°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-14; 00:04:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 46°; 0%; 16°; 0°; 24°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-14; 00:05:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 46°; 0%; 16°; 0°; 24°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.19A; 
2025-06-14; 00:06:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 46°; 0%; 16°; 0°; 25°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2025-06-14; 00:07:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 46°; 0%; 16°; 0°; 25°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.19A; 
2025-06-14; 00:08:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 46°; 0%; 16°; 0°; 24°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-14; 00:09:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 46°; 0%; 16°; 0°; 24°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.19A; 
2025-06-14; 00:10:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 33°; 43°; 58%; 0%; 0%; 0%; 100.0%; 400°; 61°; 46°; 0%; 16°; 0°; 25°; 0°; 24°; 127°; 127°; 11202; 17175h; 30°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
