Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-06; 00:00:32; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 113°; 168°; 100%; 35%; 40%; 0%; 87.8%; 428°; 78°; 75°; 100%; 0°; 30°; 28°; 40°; 34°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.95A; 
2025-01-06; 00:01:32; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 109°; 171°; 100%; 35%; 40%; 0%; 87.8%; 427°; 78°; 75°; 0%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.42A; 
2025-01-06; 00:02:32; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 106°; 168°; 100%; 35%; 40%; 0%; 87.8%; 426°; 78°; 76°; 100%; 0°; 29°; 28°; 40°; 39°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.85A; 
2025-01-06; 00:03:32; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 104°; 170°; 100%; 0%; 0%; 0%; 87.8%; 425°; 78°; 76°; 0%; 0°; 29°; 28°; 40°; 34°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.53A; 
2025-01-06; 00:04:32; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 103°; 168°; 100%; 0%; 0%; 0%; 87.8%; 424°; 78°; 76°; 0%; 0°; 29°; 28°; 40°; 36°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-06; 00:05:32; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 102°; 166°; 100%; 0%; 0%; 0%; 87.8%; 422°; 78°; 76°; 0%; 0°; 29°; 28°; 40°; 37°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-06; 00:06:32; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 100°; 166°; 99%; 0%; 0%; 0%; 87.8%; 421°; 78°; 76°; 0%; 0°; 29°; 28°; 40°; 43°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-06; 00:07:32; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 98°; 167°; 98%; 0%; 0%; 0%; 87.8%; 421°; 78°; 76°; 0%; 0°; 29°; 28°; 40°; 48°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-06; 00:08:32; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 97°; 165°; 98%; 0%; 0%; 0%; 87.8%; 420°; 78°; 76°; 0%; 0°; 29°; 28°; 40°; 38°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-06; 00:09:32; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 95°; 165°; 96%; 0%; 0%; 0%; 87.8%; 420°; 78°; 76°; 0%; 0°; 29°; 28°; 40°; 36°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-06; 00:10:32; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 94°; 165°; 96%; 0%; 0%; 0%; 87.8%; 419°; 78°; 76°; 0%; 0°; 29°; 28°; 40°; 36°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-06; 00:11:32; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 92°; 165°; 94%; 0%; 0%; 0%; 87.8%; 419°; 78°; 76°; 0%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11035; 16899h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.21A; 
