Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-11-22; 00:00:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-11-22; 00:01:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-11-22; 00:02:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-11-22; 00:03:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 59°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-22; 00:04:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-11-22; 00:05:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.32A; 
2024-11-22; 00:06:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2024-11-22; 00:07:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 405°; 63°; 28°; 0%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2024-11-22; 00:08:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2024-11-22; 00:09:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 30°; 41°; 41°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2024-11-22; 00:10:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.32A; 
2024-11-22; 00:11:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2024-11-22; 00:12:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-11-22; 00:13:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-22; 00:14:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 28°; 41°; 40°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-11-22; 00:15:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 63°; 28°; 0%; -1°; 30°; 28°; 41°; 40°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-11-22; 00:16:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 62°; 28°; 0%; -1°; 30°; 28°; 41°; 40°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2024-11-22; 00:17:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 62°; 28°; 0%; -1°; 30°; 28°; 41°; 40°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-22; 00:18:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 62°; 28°; 0%; -1°; 30°; 29°; 41°; 39°; 127°; 127°; 10953; 16764h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-22; 00:19:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 62°; 28°; 0%; -1°; 30°; 29°; 41°; 39°; 127°; 127°; 10953; 16764h; 36°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-22; 00:20:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 62°; 28°; 0%; -1°; 30°; 30°; 41°; 39°; 127°; 127°; 10953; 16764h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-22; 00:21:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 62°; 28°; 0%; -1°; 30°; 30°; 41°; 38°; 127°; 127°; 10953; 16764h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-22; 00:22:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 62°; 28°; 0%; -1°; 30°; 29°; 41°; 38°; 127°; 127°; 10953; 16764h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-11-22; 00:23:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 58°; 51°; 61°; 69%; 0%; 0%; 0%; 86.7%; 404°; 62°; 28°; 0%; -1°; 30°; 29°; 41°; 39°; 127°; 127°; 10953; 16764h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
