Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-12-14; 00:17:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 134°; 135°; 69%; 35%; 49%; 69%; 88.4%; 418°; 41°; 26°; 50%; -1°; 30°; 30°; 41°; 40°; 127°; 127°; 10990; 16824h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.44A; 
2024-12-14; 00:18:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 134°; 137°; 71%; 35%; 50%; 71%; 88.2%; 418°; 43°; 26°; 50%; -1°; 30°; 30°; 41°; 40°; 127°; 127°; 10990; 16824h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.25A; 
2024-12-14; 00:19:36; übergangsbetr.;    Heizen      ; 1; 0; 78°; 135°; 137°; 71%; 35%; 50%; 71%; 88.1%; 418°; 46°; 26°; 55%; -1°; 30°; 30°; 41°; 40°; 127°; 127°; 10990; 16824h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.12A; 
2024-12-14; 00:20:36; übergangsbetr.;    Heizen      ; 1; 0; 78°; 136°; 138°; 72%; 35%; 51%; 72%; 88.0%; 418°; 48°; 26°; 57%; -1°; 30°; 30°; 41°; 40°; 127°; 127°; 10990; 16824h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.06A; 
2024-12-14; 00:21:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 137°; 142°; 77%; 35%; 53%; 76%; 87.9%; 419°; 51°; 26°; 53%; -1°; 30°; 30°; 41°; 40°; 127°; 127°; 10990; 16824h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.27A; 
2024-12-14; 00:22:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 139°; 144°; 78%; 35%; 54%; 77%; 87.7%; 419°; 54°; 26°; 54%; -1°; 30°; 30°; 41°; 41°; 127°; 127°; 10990; 16824h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 1.65A; 
2024-12-14; 00:23:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 139°; 145°; 80%; 35%; 55%; 78%; 87.6%; 419°; 56°; 26°; 56%; -1°; 30°; 30°; 41°; 41°; 127°; 127°; 10990; 16824h; 36°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.93A; 
2024-12-14; 00:24:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 141°; 147°; 82%; 35%; 56%; 80%; 87.5%; 419°; 58°; 26°; 56%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16824h; 36°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.59A; 
2024-12-14; 00:25:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 144°; 149°; 83%; 35%; 56%; 81%; 87.3%; 420°; 59°; 26°; 56%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16824h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.59A; 
2024-12-14; 00:26:35; übergangsbetr.;    Heizen      ; 1; 0; 78°; 146°; 148°; 81%; 35%; 55%; 79%; 87.2%; 421°; 61°; 26°; 62%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.03A; 
2024-12-14; 00:27:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 146°; 152°; 87%; 35%; 58%; 84%; 87.1%; 421°; 63°; 26°; 58%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 1.91A; 
2024-12-14; 00:28:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 148°; 154°; 89%; 35%; 59%; 86%; 86.9%; 421°; 64°; 26°; 58%; -1°; 30°; 30°; 41°; 41°; 127°; 127°; 10990; 16824h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.91A; 
2024-12-14; 00:29:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 92%; 35%; 61%; 88%; 86.8%; 422°; 66°; 26°; 59%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.18A; 
2024-12-14; 00:30:35; übergangsbetr.;   Abreinigen   ; 1; 0; 77°; 156°; 157°; 88%; 100%; 100%; 0%; 86.7%; 422°; 66°; 26°; 59%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 1.44A; 
2024-12-14; 00:31:35; übergangsbetr.;   Abreinigen   ; 1; 0; 77°; 153°; 159°; 93%; 100%; 100%; 0%; 86.7%; 422°; 68°; 26°; 59%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 1.46A; 
2024-12-14; 00:32:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 141°; 163°; 100%; 100%; 100%; 0%; 86.7%; 422°; 69°; 26°; 53%; -1°; 30°; 30°; 41°; 41°; 127°; 127°; 10990; 16824h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 1.36A; 
2024-12-14; 00:33:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 131°; 165°; 100%; 100%; 100%; 0%; 86.7%; 422°; 70°; 26°; 49%; -1°; 30°; 29°; 41°; 39°; 127°; 127°; 10990; 16824h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 1.38A; 
2024-12-14; 00:34:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 122°; 168°; 100%; 100%; 100%; 0%; 86.7%; 423°; 70°; 26°; 49%; -1°; 30°; 29°; 41°; 38°; 127°; 127°; 10990; 16824h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 1.38A; 
2024-12-14; 00:35:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 115°; 170°; 100%; 100%; 100%; 100%; 86.6%; 422°; 71°; 26°; 49%; -1°; 30°; 29°; 41°; 38°; 127°; 127°; 10990; 16824h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.18A; 
2024-12-14; 00:36:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 117°; 177°; 100%; 100%; 100%; 100%; 86.4%; 421°; 72°; 26°; 40%; -1°; 30°; 29°; 41°; 38°; 127°; 127°; 10990; 16824h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.23A; 
2024-12-14; 00:37:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 132°; 179°; 98%; 100%; 100%; 100%; 86.3%; 421°; 72°; 26°; 40%; -1°; 30°; 29°; 41°; 38°; 127°; 127°; 10990; 16824h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.29A; 
2024-12-14; 00:38:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 147°; 177°; 93%; 100%; 100%; 0%; 86.2%; 422°; 72°; 26°; 47%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16824h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.38A; 
2024-12-14; 00:39:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 142°; 179°; 100%; 100%; 100%; 0%; 86.2%; 422°; 72°; 26°; 46%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.40A; 
