Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-06-02; 00:00:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-02; 00:01:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-02; 00:02:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-02; 00:03:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.19A; 
2025-06-02; 00:04:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.19A; 
2025-06-02; 00:05:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-02; 00:06:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-02; 00:07:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-02; 00:08:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-06-02; 00:09:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.19A; 
2025-06-02; 00:10:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 32°; 42°; 57%; 0%; 0%; 0%; 100.0%; 398°; 61°; 46°; 0%; 18°; 0°; 24°; 0°; 24°; 127°; 127°; 11200; 17178h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.19A; 
