Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-07-03; 00:00:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.95A; 
2025-07-03; 00:01:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.19A; 
2025-07-03; 00:02:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2025-07-03; 00:03:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-07-03; 00:04:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.19A; 
2025-07-03; 00:05:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.19A; 
2025-07-03; 00:06:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 399°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.19A; 
2025-07-03; 00:07:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-07-03; 00:08:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-07-03; 00:09:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.19A; 
2025-07-03; 00:10:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-07-03; 00:11:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2025-07-03; 00:12:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 32°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 400°; 58°; 45°; 0%; 22°; 0°; 26°; 0°; 26°; 127°; 127°; 11205; 17181h; 31°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
