Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-24; 15:09:57; übergangsbetr.;    Heizen      ; 1; 0; 56°; 116°; 126°; 98%; 38%; 64%; 93%; 97.9%; 388°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 23°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 2.16A; 
2024-05-24; 15:10:57; übergangsbetr.;    Heizen      ; 1; 0; 59°; 119°; 129°; 100%; 39%; 65%; 95%; 97.8%; 390°; 32°; 26°; 0%; 20°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 23°; 80°; 20°; 18%; AUS; OFFEN; TROCKEN; 1.89A; 
2024-05-24; 15:11:57; übergangsbetr.;    Heizen      ; 1; 0; 64°; 123°; 133°; 100%; 39%; 65%; 95%; 97.6%; 392°; 32°; 26°; 0%; 19°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 23°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 2.46A; 
2024-05-24; 15:12:57; übergangsbetr.;    Heizen      ; 1; 0; 66°; 129°; 135°; 97%; 37%; 63%; 91%; 97.4%; 393°; 32°; 26°; 49%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 23°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 3.18A; 
2024-05-24; 15:13:57; übergangsbetr.;    Heizen      ; 1; 0; 68°; 133°; 135°; 94%; 36%; 62%; 90%; 97.3%; 394°; 32°; 26°; 40%; 19°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 23°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 3.10A; 
2024-05-24; 15:14:57; übergangsbetr.;    Heizen      ; 1; 0; 70°; 136°; 134°; 89%; 35%; 59%; 85%; 97.1%; 396°; 32°; 26°; 40%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 24°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 2.27A; 
2024-05-24; 15:15:57; übergangsbetr.;    Heizen      ; 1; 0; 71°; 135°; 133°; 88%; 35%; 59%; 85%; 97.0%; 397°; 32°; 26°; 40%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 24°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 2.46A; 
2024-05-24; 15:16:57; übergangsbetr.;    Heizen      ; 1; 0; 72°; 135°; 134°; 89%; 35%; 59%; 86%; 96.9%; 397°; 32°; 26°; 40%; 19°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 24°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 3.20A; 
2024-05-24; 15:17:57; übergangsbetr.;    Heizen      ; 1; 0; 74°; 136°; 133°; 86%; 35%; 58%; 83%; 96.7%; 398°; 32°; 26°; 42%; 19°; 0°; 20°; 0°; 20°; 127°; 127°; 10880; 16635h; 24°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 3.01A; 
2024-05-24; 15:18:57; übergangsbetr.;    Heizen      ; 1; 0; 74°; 137°; 132°; 83%; 35%; 56%; 81%; 96.6%; 398°; 32°; 26°; 41%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 24°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 1.89A; 
2024-05-24; 15:19:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 138°; 131°; 78%; 35%; 54%; 77%; 96.4%; 401°; 32°; 26°; 42%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 25°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 2.95A; 
2024-05-24; 15:20:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 137°; 130°; 76%; 35%; 53%; 75%; 96.3%; 401°; 32°; 26°; 49%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 25°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 2.63A; 
2024-05-24; 15:21:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 137°; 130°; 74%; 35%; 51%; 73%; 96.2%; 401°; 32°; 28°; 53%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 25°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 2.82A; 
2024-05-24; 15:22:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 136°; 131°; 73%; 35%; 51%; 73%; 96.1%; 402°; 32°; 28°; 53%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 25°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 2.35A; 
2024-05-24; 15:23:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 137°; 135°; 75%; 35%; 52%; 74%; 96.0%; 402°; 33°; 28°; 47%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 25°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 2.10A; 
2024-05-24; 15:24:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 138°; 137°; 75%; 35%; 52%; 74%; 95.8%; 403°; 33°; 28°; 46%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 26°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 3.08A; 
