Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-24; 16:06:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 171°; 100%; 39%; 65%; 95%; 89.4%; 421°; 64°; 32°; 56%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.99A; 
2024-05-24; 16:07:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 171°; 100%; 39%; 65%; 95%; 89.2%; 422°; 64°; 32°; 56%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.86A; 
2024-05-24; 16:08:57; übergangsbetr.;    Heizen      ; 1; 0; 78°; 164°; 169°; 98%; 38%; 64%; 93%; 89.1%; 422°; 64°; 32°; 62%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.84A; 
2024-05-24; 16:09:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 171°; 99%; 38%; 64%; 94%; 88.9%; 423°; 64°; 32°; 57%; 20°; 0°; 22°; 0°; 22°; 127°; 127°; 10880; 16636h; 35°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.18A; 
2024-05-24; 16:10:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 171°; 100%; 39%; 65%; 95%; 88.8%; 423°; 64°; 32°; 57%; 20°; 0°; 22°; 0°; 23°; 127°; 127°; 10880; 16636h; 35°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.91A; 
2024-05-24; 16:11:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 171°; 100%; 39%; 65%; 95%; 88.6%; 423°; 64°; 33°; 57%; 20°; 0°; 22°; 0°; 23°; 127°; 127°; 10880; 16636h; 35°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.52A; 
2024-05-24; 16:12:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 171°; 100%; 39%; 65%; 95%; 88.4%; 423°; 66°; 34°; 57%; 20°; 0°; 22°; 0°; 23°; 127°; 127°; 10880; 16636h; 35°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.33A; 
2024-05-24; 16:13:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 100%; 39%; 65%; 95%; 88.3%; 424°; 66°; 35°; 57%; 20°; 0°; 22°; 0°; 23°; 127°; 127°; 10880; 16636h; 35°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.29A; 
2024-05-24; 16:14:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 169°; 97%; 37%; 63%; 92%; 88.1%; 424°; 66°; 36°; 56%; 20°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 35°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.25A; 
2024-05-24; 16:15:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 168°; 98%; 39%; 65%; 95%; 88.0%; 424°; 66°; 37°; 51%; 20°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 35°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.38A; 
2024-05-24; 16:16:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 167°; 98%; 38%; 64%; 93%; 87.8%; 424°; 66°; 38°; 55%; 20°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 35°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.27A; 
2024-05-24; 16:17:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 168°; 100%; 39%; 65%; 95%; 87.6%; 424°; 66°; 40°; 55%; 19°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 35°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.10A; 
2024-05-24; 16:18:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 168°; 100%; 39%; 65%; 95%; 87.5%; 424°; 66°; 42°; 55%; 19°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 35°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.97A; 
2024-05-24; 16:19:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 169°; 99%; 38%; 64%; 94%; 87.3%; 425°; 67°; 43°; 55%; 19°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 36°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.86A; 
2024-05-24; 16:20:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 170°; 100%; 39%; 65%; 95%; 87.2%; 425°; 67°; 45°; 55%; 19°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 36°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 1.72A; 
2024-05-24; 16:21:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 100%; 39%; 65%; 95%; 87.0%; 425°; 68°; 46°; 55%; 19°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 36°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.16A; 
2024-05-24; 16:22:56; übergangsbetr.;    Heizen      ; 1; 0; 78°; 163°; 168°; 98%; 38%; 64%; 93%; 86.8%; 425°; 68°; 48°; 61%; 19°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 36°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.16A; 
2024-05-24; 16:23:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 170°; 100%; 39%; 65%; 95%; 86.7%; 426°; 68°; 49°; 56%; 19°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 36°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.72A; 
2024-05-24; 16:24:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 170°; 100%; 39%; 65%; 95%; 86.5%; 426°; 68°; 50°; 56%; 19°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 36°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.44A; 
2024-05-24; 16:25:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 172°; 100%; 39%; 65%; 95%; 86.4%; 426°; 68°; 51°; 57%; 19°; 0°; 22°; 0°; 24°; 127°; 127°; 10880; 16636h; 36°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.59A; 
2024-05-24; 16:26:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 172°; 100%; 39%; 65%; 95%; 86.2%; 426°; 69°; 53°; 57%; 19°; 0°; 23°; 0°; 24°; 127°; 127°; 10880; 16636h; 36°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.93A; 
2024-05-24; 16:27:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 173°; 100%; 39%; 65%; 95%; 86.0%; 426°; 69°; 54°; 57%; 19°; 0°; 23°; 0°; 24°; 127°; 127°; 10880; 16636h; 36°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.61A; 
2024-05-24; 16:28:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 173°; 100%; 39%; 65%; 95%; 85.9%; 426°; 70°; 55°; 57%; 19°; 0°; 23°; 0°; 24°; 127°; 127°; 10880; 16636h; 36°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.31A; 
2024-05-24; 16:29:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 173°; 100%; 39%; 65%; 95%; 85.7%; 426°; 70°; 56°; 57%; 19°; 0°; 23°; 0°; 25°; 127°; 127°; 10880; 16636h; 36°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.55A; 
2024-05-24; 16:30:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 173°; 100%; 39%; 65%; 95%; 85.6%; 426°; 70°; 57°; 57%; 19°; 0°; 23°; 0°; 25°; 127°; 127°; 10880; 16636h; 36°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 3.14A; 
2024-05-24; 16:31:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 173°; 100%; 39%; 65%; 95%; 85.4%; 426°; 71°; 58°; 57%; 19°; 0°; 23°; 0°; 25°; 127°; 127°; 10880; 16636h; 36°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 3.05A; 
2024-05-24; 16:32:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 171°; 98%; 38%; 64%; 93%; 85.2%; 426°; 72°; 58°; 57%; 19°; 0°; 23°; 0°; 25°; 127°; 127°; 10880; 16636h; 36°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.31A; 
2024-05-24; 16:33:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 162°; 172°; 100%; 38%; 64%; 93%; 85.1%; 427°; 72°; 60°; 56%; 19°; 0°; 23°; 0°; 26°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 1.72A; 
2024-05-24; 16:34:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 163°; 173°; 100%; 39%; 65%; 95%; 84.9%; 427°; 72°; 60°; 49%; 19°; 0°; 24°; 0°; 26°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.95A; 
2024-05-24; 16:35:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 173°; 100%; 39%; 65%; 95%; 84.8%; 427°; 72°; 61°; 53%; 19°; 0°; 24°; 0°; 26°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.57A; 
2024-05-24; 16:36:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 164°; 173°; 100%; 39%; 65%; 95%; 84.6%; 428°; 72°; 62°; 48%; 19°; 0°; 24°; 0°; 26°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.59A; 
2024-05-24; 16:37:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 98%; 38%; 64%; 93%; 84.4%; 428°; 72°; 62°; 52%; 19°; 0°; 24°; 0°; 26°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 3.14A; 
2024-05-24; 16:38:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 163°; 170°; 100%; 39%; 65%; 95%; 84.3%; 428°; 74°; 63°; 52%; 19°; 0°; 24°; 0°; 26°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.74A; 
2024-05-24; 16:39:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 167°; 97%; 37%; 63%; 92%; 84.1%; 428°; 74°; 64°; 51%; 19°; 0°; 24°; 0°; 26°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.23A; 
2024-05-24; 16:40:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 169°; 98%; 38%; 64%; 93%; 84.0%; 428°; 74°; 64°; 51%; 19°; 0°; 24°; 0°; 26°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 3.03A; 
2024-05-24; 16:41:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 170°; 100%; 39%; 65%; 95%; 83.8%; 428°; 74°; 66°; 51%; 19°; 0°; 24°; 0°; 26°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 3.10A; 
2024-05-24; 16:42:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 100%; 39%; 65%; 95%; 83.6%; 428°; 74°; 66°; 51%; 18°; 0°; 24°; 0°; 26°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 3.05A; 
2024-05-24; 16:43:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 99%; 38%; 64%; 94%; 83.5%; 428°; 75°; 66°; 51%; 18°; 0°; 24°; 0°; 28°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.84A; 
2024-05-24; 16:44:57; übergangsbetr.;    Heizen      ; 1; 0; 78°; 164°; 169°; 99%; 38%; 64%; 94%; 83.3%; 428°; 75°; 67°; 57%; 18°; 0°; 24°; 0°; 28°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.55A; 
2024-05-24; 16:45:57; übergangsbetr.;    Heizen      ; 1; 0; 78°; 164°; 169°; 100%; 39%; 65%; 95%; 83.1%; 428°; 76°; 68°; 60%; 18°; 0°; 24°; 0°; 28°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 3.12A; 
2024-05-24; 16:46:57; übergangsbetr.;    Heizen      ; 1; 0; 78°; 164°; 169°; 100%; 39%; 65%; 95%; 83.0%; 428°; 76°; 69°; 62%; 18°; 0°; 24°; 0°; 28°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.88A; 
2024-05-24; 16:47:57; übergangsbetr.;    Heizen      ; 1; 0; 78°; 166°; 168°; 97%; 37%; 63%; 92%; 82.8%; 428°; 76°; 70°; 71%; 18°; 0°; 24°; 0°; 28°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.31A; 
2024-05-24; 16:48:57; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 166°; 169°; 99%; 35%; 40%; 0%; 82.7%; 429°; 76°; 71°; 76%; 18°; 0°; 24°; 0°; 28°; 127°; 127°; 10880; 16636h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 1.65A; 
2024-05-24; 16:49:57; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 157°; 171°; 100%; 35%; 40%; 0%; 82.7%; 428°; 76°; 72°; 82%; 18°; 0°; 24°; 0°; 28°; 127°; 127°; 10880; 16636h; 37°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 1.44A; 
2024-05-24; 16:50:57; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 148°; 172°; 100%; 35%; 40%; 0%; 82.7%; 428°; 77°; 72°; 87%; 18°; 0°; 24°; 0°; 28°; 127°; 127°; 10880; 16636h; 37°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 1.46A; 
2024-05-24; 16:51:57; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 141°; 173°; 99%; 35%; 40%; 0%; 82.7%; 428°; 77°; 72°; 92%; 18°; 0°; 24°; 0°; 28°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 1.72A; 
2024-05-24; 16:52:57; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 133°; 176°; 100%; 35%; 40%; 0%; 82.7%; 428°; 77°; 72°; 91%; 18°; 0°; 24°; 0°; 28°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 11%; AUS; OFFEN; TROCKEN; 1.63A; 
2024-05-24; 16:53:57; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 127°; 171°; 97%; 35%; 40%; 0%; 82.7%; 427°; 76°; 74°; 100%; 18°; 0°; 25°; 0°; 28°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 1.53A; 
2024-05-24; 16:54:57; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 122°; 172°; 100%; 35%; 40%; 0%; 82.7%; 426°; 76°; 74°; 100%; 18°; 0°; 24°; 0°; 29°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 1.42A; 
2024-05-24; 16:55:57; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 118°; 171°; 100%; 35%; 40%; 0%; 82.7%; 424°; 76°; 75°; 96%; 19°; 0°; 25°; 0°; 29°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 1.74A; 
2024-05-24; 16:56:57; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 115°; 173°; 100%; 35%; 40%; 0%; 82.7%; 423°; 76°; 75°; 0%; 19°; 0°; 25°; 0°; 30°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 1.23A; 
2024-05-24; 16:57:57; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 111°; 172°; 100%; 35%; 40%; 0%; 82.7%; 422°; 76°; 75°; 100%; 19°; 0°; 25°; 0°; 30°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 2.12A; 
2024-05-24; 16:58:57; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 108°; 174°; 100%; 0%; 0%; 0%; 82.7%; 422°; 76°; 75°; 0%; 19°; 0°; 25°; 0°; 30°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 0.11A; 
2024-05-24; 16:59:57; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 107°; 173°; 100%; 0%; 0%; 0%; 82.7%; 421°; 76°; 75°; 100%; 19°; 0°; 25°; 0°; 30°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 0.42A; 
2024-05-24; 17:00:57; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 105°; 175°; 100%; 0%; 0%; 0%; 82.7%; 420°; 76°; 75°; 0%; 19°; 0°; 25°; 0°; 30°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:01:57; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 103°; 174°; 99%; 0%; 0%; 0%; 82.7%; 420°; 76°; 75°; 100%; 19°; 0°; 25°; 0°; 30°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 0.42A; 
2024-05-24; 17:02:57; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 101°; 176°; 100%; 0%; 0%; 0%; 82.7%; 418°; 76°; 75°; 0%; 19°; 0°; 25°; 0°; 31°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 0.15A; 
2024-05-24; 17:03:56; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 100°; 177°; 100%; 0%; 0%; 0%; 82.7%; 418°; 76°; 75°; 0%; 19°; 0°; 26°; 0°; 31°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:04:56; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 98°; 177°; 98%; 0%; 0%; 0%; 82.7%; 417°; 76°; 74°; 100%; 19°; 0°; 26°; 0°; 32°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 0.45A; 
2024-05-24; 17:05:56; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 96°; 178°; 93%; 0%; 0%; 0%; 82.7%; 417°; 76°; 74°; 0%; 19°; 0°; 26°; 0°; 32°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 0.32A; 
2024-05-24; 17:06:56; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 95°; 183°; 96%; 0%; 0%; 0%; 82.7%; 416°; 76°; 74°; 0%; 19°; 0°; 26°; 0°; 32°; 127°; 127°; 10880; 16637h; 38°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:07:56; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 93°; 180°; 94%; 0%; 0%; 0%; 82.7%; 416°; 76°; 74°; 100%; 19°; 0°; 26°; 0°; 32°; 127°; 127°; 10880; 16637h; 38°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 0.40A; 
2024-05-24; 17:08:56; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 92°; 185°; 95%; 0%; 0%; 0%; 82.7%; 416°; 76°; 74°; 0%; 19°; 0°; 26°; 0°; 32°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:09:56; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 91°; 186°; 94%; 0%; 0%; 0%; 82.7%; 415°; 76°; 74°; 0%; 19°; 0°; 26°; 0°; 32°; 127°; 127°; 10880; 16637h; 38°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:10:57; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 90°; 187°; 93%; 0%; 0%; 0%; 82.7%; 415°; 75°; 74°; 0%; 19°; 0°; 26°; 0°; 32°; 127°; 127°; 10880; 16637h; 38°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:11:57; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 89°; 188°; 93%; 0%; 0%; 0%; 82.7%; 414°; 75°; 74°; 0%; 19°; 0°; 26°; 0°; 32°; 127°; 127°; 10880; 16637h; 38°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:12:57; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 88°; 189°; 92%; 0%; 0%; 0%; 82.7%; 414°; 75°; 74°; 0%; 19°; 0°; 26°; 0°; 32°; 127°; 127°; 10880; 16637h; 38°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:13:56; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 87°; 190°; 91%; 0%; 0%; 0%; 82.7%; 414°; 75°; 74°; 0%; 19°; 0°; 26°; 0°; 32°; 127°; 127°; 10880; 16637h; 38°; 80°; 26°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:14:56; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 87°; 191°; 91%; 0%; 0%; 0%; 82.7%; 414°; 75°; 74°; 0%; 19°; 0°; 26°; 0°; 33°; 127°; 127°; 10880; 16637h; 38°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 0.11A; 
2024-05-24; 17:15:56; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 86°; 193°; 91%; 0%; 0%; 0%; 82.7%; 413°; 75°; 74°; 0%; 19°; 0°; 26°; 0°; 33°; 127°; 127°; 10880; 16637h; 38°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:16:56; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 85°; 194°; 90%; 0%; 0%; 0%; 82.7%; 411°; 75°; 74°; 0%; 19°; 0°; 26°; 0°; 33°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 0.42A; 
2024-05-24; 17:17:56; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 84°; 195°; 90%; 0%; 0%; 0%; 82.7%; 411°; 75°; 74°; 0%; 19°; 0°; 26°; 0°; 33°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 0.13A; 
2024-05-24; 17:18:56; übergangsbetr.; Abst.Einschub 2; 1; 0; 78°; 83°; 196°; 89%; 35%; 0%; 100%; 82.7%; 411°; 74°; 74°; 0%; 19°; 0°; 26°; 0°; 33°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.02A; 
2024-05-24; 17:19:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 83°; 197°; 89%; 0%; 0%; 0%; 82.7%; 411°; 74°; 74°; 0%; 19°; 0°; 26°; 0°; 33°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:20:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 82°; 198°; 88%; 0%; 0%; 0%; 82.7%; 411°; 74°; 74°; 100%; 19°; 0°; 26°; 0°; 33°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:21:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 82°; 200°; 88%; 0%; 0%; 0%; 82.7%; 410°; 74°; 74°; 0%; 19°; 0°; 26°; 0°; 33°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:22:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 81°; 201°; 88%; 0%; 0%; 0%; 82.7%; 410°; 74°; 74°; 99%; 19°; 0°; 26°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.23A; 
2024-05-24; 17:23:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 81°; 204°; 88%; 0%; 0%; 0%; 82.7%; 410°; 74°; 74°; 0%; 19°; 0°; 27°; 0°; 33°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:24:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 80°; 206°; 87%; 0%; 0%; 0%; 82.7%; 410°; 74°; 74°; 0%; 19°; 0°; 27°; 0°; 33°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:25:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 80°; 207°; 87%; 0%; 0%; 0%; 82.7%; 410°; 74°; 74°; 0%; 19°; 0°; 27°; 0°; 33°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:26:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 80°; 209°; 87%; 0%; 0%; 0%; 82.7%; 410°; 74°; 74°; 0%; 19°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:27:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 79°; 210°; 86%; 0%; 0%; 0%; 82.7%; 410°; 74°; 74°; 0%; 19°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
