Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-06-03; 00:00:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2025-06-03; 00:01:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2025-06-03; 00:02:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2025-06-03; 00:03:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2025-06-03; 00:04:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2025-06-03; 00:05:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2025-06-03; 00:06:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2025-06-03; 00:07:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2025-06-03; 00:08:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2025-06-03; 00:09:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2025-06-03; 00:10:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2025-06-03; 00:11:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2025-06-03; 00:12:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 26°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 53°; 40°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 11200; 17178h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.13A; 
