Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-13; 00:00:29; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 86°; 159°; 91%; 0%; 0%; 0%; 87.0%; 414°; 78°; 76°; 0%; -6°; 32°; 32°; 45°; 43°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.66A; 
2025-01-13; 00:01:29; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 85°; 156°; 90%; 0%; 0%; 0%; 87.0%; 414°; 78°; 76°; 0%; -6°; 32°; 32°; 45°; 44°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-13; 00:02:30; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 85°; 156°; 90%; 0%; 0%; 0%; 87.0%; 414°; 78°; 76°; 0%; -6°; 32°; 33°; 45°; 44°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-13; 00:03:30; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 84°; 156°; 90%; 0%; 0%; 0%; 87.0%; 414°; 78°; 76°; 0%; -6°; 32°; 33°; 45°; 44°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-13; 00:04:30; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 83°; 156°; 89%; 0%; 0%; 0%; 87.0%; 413°; 78°; 76°; 0%; -6°; 32°; 35°; 45°; 46°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-13; 00:05:30; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 83°; 155°; 89%; 0%; 0%; 0%; 87.0%; 413°; 78°; 76°; 0%; -6°; 32°; 32°; 45°; 44°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-13; 00:06:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 82°; 155°; 88%; 0%; 0%; 0%; 87.0%; 413°; 78°; 76°; 0%; -6°; 32°; 31°; 45°; 46°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-13; 00:07:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 82°; 159°; 88%; 0%; 0%; 0%; 87.0%; 413°; 78°; 76°; 0%; -6°; 32°; 30°; 45°; 43°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-13; 00:08:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 81°; 161°; 88%; 0%; 0%; 0%; 87.0%; 413°; 78°; 76°; 0%; -6°; 32°; 30°; 45°; 45°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-13; 00:09:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 81°; 160°; 88%; 0%; 0%; 0%; 87.0%; 413°; 78°; 76°; 0%; -6°; 32°; 30°; 45°; 46°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-13; 00:10:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 81°; 160°; 88%; 0%; 0%; 0%; 87.0%; 412°; 78°; 76°; 0%; -6°; 32°; 30°; 45°; 45°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-13; 00:11:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 80°; 160°; 87%; 0%; 0%; 0%; 87.0%; 412°; 78°; 76°; 0%; -6°; 32°; 30°; 45°; 45°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-13; 00:12:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 80°; 163°; 87%; 0%; 0%; 0%; 87.0%; 412°; 78°; 75°; 0%; -6°; 32°; 30°; 45°; 46°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-13; 00:13:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 79°; 164°; 86%; 0%; 0%; 0%; 87.0%; 412°; 78°; 75°; 0%; -6°; 32°; 31°; 45°; 46°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2025-01-13; 00:14:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 79°; 164°; 86%; 0%; 0%; 0%; 87.0%; 412°; 78°; 75°; 0%; -6°; 32°; 32°; 45°; 46°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-13; 00:15:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 78°; 165°; 86%; 0%; 0%; 0%; 87.0%; 412°; 78°; 74°; 100%; -6°; 32°; 32°; 45°; 45°; 127°; 127°; 11048; 16921h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.51A; 
