Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-03-18; 00:00:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 133°; 124°; 58%; 35%; 44%; 60%; 85.0%; 416°; 34°; 26°; 51%; -4°; 31°; 36°; 43°; 43°; 127°; 127°; 11159; 17106h; 34°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.52A; 
2025-03-18; 00:01:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 132°; 126°; 59%; 35%; 44%; 61%; 84.9%; 416°; 34°; 26°; 50%; -4°; 31°; 36°; 43°; 48°; 127°; 127°; 11159; 17106h; 34°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.82A; 
2025-03-18; 00:02:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 131°; 128°; 61%; 35%; 45%; 63%; 84.8%; 416°; 34°; 26°; 49%; -4°; 31°; 36°; 43°; 46°; 127°; 127°; 11159; 17106h; 34°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.88A; 
2025-03-18; 00:03:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 132°; 130°; 62%; 35%; 46%; 64%; 84.7%; 416°; 35°; 26°; 48%; -4°; 31°; 36°; 43°; 40°; 127°; 127°; 11159; 17106h; 34°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.04A; 
2025-03-18; 00:04:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 132°; 132°; 63%; 35%; 46%; 65%; 84.6%; 416°; 36°; 26°; 48%; -4°; 31°; 36°; 43°; 38°; 127°; 127°; 11159; 17106h; 34°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.97A; 
2025-03-18; 00:05:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 133°; 133°; 63%; 35%; 46%; 65%; 84.5%; 416°; 36°; 26°; 49%; -4°; 31°; 36°; 43°; 41°; 127°; 127°; 11159; 17106h; 34°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.78A; 
2025-03-18; 00:06:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 134°; 135°; 64%; 35%; 47%; 65%; 84.4%; 418°; 37°; 26°; 49%; -4°; 31°; 36°; 43°; 47°; 127°; 127°; 11159; 17106h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 1.95A; 
2025-03-18; 00:07:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 134°; 137°; 67%; 35%; 48%; 68%; 84.3%; 418°; 38°; 26°; 49%; -4°; 31°; 36°; 43°; 48°; 127°; 127°; 11159; 17106h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 3.05A; 
2025-03-18; 00:08:58; übergangsbetr.;    Heizen      ; 1; 0; 78°; 136°; 137°; 66%; 35%; 48%; 67%; 84.2%; 418°; 40°; 26°; 54%; -4°; 31°; 30°; 43°; 41°; 127°; 127°; 11159; 17106h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 1.70A; 
2025-03-18; 00:09:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 138°; 141°; 68%; 35%; 48%; 68%; 84.0%; 418°; 41°; 26°; 50%; -4°; 31°; 28°; 43°; 38°; 127°; 127°; 11159; 17106h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.16A; 
2025-03-18; 00:10:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 140°; 142°; 68%; 35%; 49%; 69%; 83.9%; 418°; 43°; 26°; 50%; -4°; 31°; 26°; 43°; 39°; 127°; 127°; 11159; 17106h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.95A; 
2025-03-18; 00:11:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 139°; 144°; 72%; 35%; 51%; 72%; 83.8%; 419°; 45°; 26°; 50%; -4°; 31°; 26°; 43°; 44°; 127°; 127°; 11159; 17106h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.52A; 
2025-03-18; 00:12:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 140°; 146°; 75%; 35%; 52%; 74%; 83.7%; 419°; 46°; 26°; 50%; -4°; 31°; 26°; 43°; 47°; 127°; 127°; 11159; 17106h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 3.12A; 
2025-03-18; 00:13:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 142°; 148°; 77%; 35%; 53%; 76%; 83.6%; 419°; 49°; 28°; 50%; -4°; 31°; 26°; 43°; 46°; 127°; 127°; 11159; 17106h; 35°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.48A; 
2025-03-18; 00:14:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 146°; 150°; 77%; 35%; 54%; 77%; 83.4%; 420°; 50°; 28°; 50%; -4°; 31°; 28°; 43°; 41°; 127°; 127°; 11159; 17106h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 3.12A; 
2025-03-18; 00:15:58; übergangsbetr.;    Heizen      ; 1; 0; 78°; 147°; 149°; 76%; 35%; 53%; 75%; 83.3%; 421°; 52°; 28°; 55%; -4°; 31°; 30°; 43°; 38°; 127°; 127°; 11159; 17106h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.97A; 
2025-03-18; 00:16:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 153°; 79%; 35%; 54%; 77%; 83.2%; 421°; 54°; 28°; 51%; -4°; 31°; 30°; 43°; 40°; 127°; 127°; 11159; 17106h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 1.87A; 
2025-03-18; 00:17:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 150°; 155°; 81%; 35%; 55%; 79%; 83.0%; 421°; 55°; 28°; 52%; -4°; 31°; 30°; 43°; 46°; 127°; 127°; 11159; 17106h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.12A; 
2025-03-18; 00:18:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 151°; 156°; 83%; 35%; 55%; 79%; 82.9%; 422°; 56°; 28°; 52%; -4°; 31°; 31°; 43°; 48°; 127°; 127°; 11159; 17106h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.27A; 
2025-03-18; 00:19:58; übergangsbetr.;    Heizen      ; 1; 0; 78°; 153°; 156°; 82%; 35%; 57%; 82%; 82.8%; 422°; 58°; 28°; 58%; -4°; 31°; 31°; 43°; 41°; 127°; 127°; 11159; 17106h; 36°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.10A; 
2025-03-18; 00:20:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 155°; 160°; 85%; 35%; 57%; 82%; 82.6%; 422°; 59°; 28°; 54%; -4°; 31°; 32°; 43°; 38°; 127°; 127°; 11159; 17106h; 36°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.05A; 
2025-03-18; 00:21:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 156°; 161°; 87%; 35%; 58%; 84%; 82.5%; 423°; 60°; 28°; 55%; -4°; 31°; 32°; 43°; 39°; 127°; 127°; 11159; 17106h; 36°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.14A; 
2025-03-18; 00:22:58; übergangsbetr.;    Heizen      ; 1; 0; 78°; 157°; 161°; 88%; 35%; 60%; 86%; 82.3%; 424°; 62°; 28°; 61%; -4°; 31°; 32°; 43°; 46°; 127°; 127°; 11159; 17107h; 36°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.63A; 
2025-03-18; 00:23:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 165°; 89%; 35%; 59%; 86%; 82.2%; 425°; 63°; 28°; 56%; -4°; 31°; 45°; 43°; 50°; 127°; 127°; 11159; 17107h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.10A; 
2025-03-18; 00:24:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 167°; 92%; 35%; 61%; 88%; 82.0%; 426°; 64°; 28°; 58%; -4°; 31°; 31°; 44°; 42°; 127°; 127°; 11159; 17107h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.59A; 
2025-03-18; 00:25:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 168°; 93%; 35%; 60%; 87%; 81.9%; 426°; 64°; 28°; 58%; -4°; 31°; 28°; 44°; 38°; 127°; 127°; 11159; 17107h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.05A; 
2025-03-18; 00:26:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 96%; 37%; 63%; 91%; 81.7%; 426°; 66°; 28°; 59%; -5°; 31°; 27°; 44°; 42°; 127°; 127°; 11159; 17107h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.38A; 
2025-03-18; 00:27:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 172°; 99%; 38%; 64%; 94%; 81.6%; 427°; 66°; 28°; 59%; -5°; 31°; 27°; 44°; 49°; 127°; 127°; 11159; 17107h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.82A; 
2025-03-18; 00:28:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 173°; 99%; 37%; 63%; 92%; 81.4%; 427°; 67°; 28°; 60%; -5°; 31°; 28°; 44°; 46°; 127°; 127°; 11159; 17107h; 37°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.35A; 
2025-03-18; 00:29:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 174°; 100%; 39%; 65%; 95%; 81.3%; 427°; 68°; 29°; 61%; -5°; 31°; 30°; 44°; 39°; 127°; 127°; 11159; 17107h; 37°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.99A; 
2025-03-18; 00:30:58; übergangsbetr.;   Abreinigen   ; 1; 0; 77°; 171°; 176°; 100%; 100%; 100%; 0%; 81.3%; 428°; 68°; 29°; 61%; -5°; 31°; 32°; 44°; 38°; 127°; 127°; 11159; 17107h; 37°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.38A; 
2025-03-18; 00:31:58; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 164°; 180°; 100%; 100%; 100%; 0%; 81.3%; 428°; 69°; 29°; 56%; -5°; 31°; 32°; 44°; 46°; 127°; 127°; 11159; 17107h; 37°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.42A; 
2025-03-18; 00:32:58; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 153°; 186°; 100%; 100%; 100%; 0%; 81.3%; 429°; 70°; 29°; 42%; -5°; 31°; 32°; 44°; 49°; 127°; 127°; 11159; 17107h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.36A; 
2025-03-18; 00:33:58; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 139°; 188°; 100%; 100%; 100%; 0%; 81.3%; 428°; 70°; 29°; 40%; -5°; 31°; 32°; 44°; 41°; 127°; 127°; 11159; 17107h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.29A; 
