Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-06-23; 00:00:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-23; 00:01:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-23; 00:02:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-23; 00:03:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-23; 00:04:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 27°; 80°; 22°; 29%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-23; 00:05:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-23; 00:06:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.19A; 
2024-06-23; 00:07:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-23; 00:08:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-23; 00:09:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-23; 00:10:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-23; 00:11:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-23; 00:12:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-23; 00:13:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-23; 00:14:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-23; 00:15:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-23; 00:16:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-23; 00:17:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-23; 00:18:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-23; 00:19:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-23; 00:20:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 54%; 0%; 0%; 0%; 100.0%; 398°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-23; 00:21:22; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 16°; 0°; 24°; 0°; 22°; 127°; 127°; 10885; 16647h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
