Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-21; 00:00:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 56°; 26°; 0%; -4°; 32°; 30°; 44°; 43°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-21; 00:01:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 56°; 26°; 0%; -4°; 32°; 30°; 44°; 43°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.32A; 
2025-01-21; 00:02:11; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 56°; 26°; 0%; -4°; 32°; 30°; 44°; 43°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-01-21; 00:03:11; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 56°; 26°; 0%; -4°; 32°; 30°; 44°; 43°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-21; 00:04:11; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 56°; 26°; 0%; -4°; 32°; 30°; 44°; 44°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-21; 00:05:11; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 56°; 26°; 0%; -5°; 32°; 30°; 44°; 44°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-21; 00:06:11; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 55°; 26°; 0%; -5°; 32°; 30°; 44°; 44°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-21; 00:07:11; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 55°; 26°; 0%; -5°; 32°; 32°; 44°; 44°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.21A; 
2025-01-21; 00:08:11; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 55°; 26°; 0%; -5°; 32°; 32°; 44°; 44°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-21; 00:09:11; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 54°; 26°; 0%; -5°; 32°; 32°; 44°; 44°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.28A; 
2025-01-21; 00:10:11; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 88.3%; 404°; 54°; 26°; 0%; -5°; 32°; 32°; 44°; 43°; 127°; 127°; 11064; 16947h; 35°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.23A; 
