Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-04-04; 00:00:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 44°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.19A; 
2024-04-04; 00:01:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 44°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.21A; 
2024-04-04; 00:02:21; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 44°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.19A; 
2024-04-04; 00:03:20; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 44°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.21A; 
2024-04-04; 00:04:20; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 44°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.19A; 
2024-04-04; 00:05:20; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 44°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.23A; 
2024-04-04; 00:06:20; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 44°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.21A; 
2024-04-04; 00:07:20; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 44°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.23A; 
2024-04-04; 00:08:20; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 43°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.23A; 
2024-04-04; 00:09:20; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 43°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.19A; 
2024-04-04; 00:10:20; übergangsbetr.;   Brenner Aus  ; 1; 0; 36°; 34°; 44°; 58%; 0%; 0%; 0%; 100.0%; 400°; 43°; 26°; 0%; 8°; 26°; 26°; 31°; 30°; 127°; 127°; 10859; 16606h; 30°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.21A; 
