Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-04-01; 00:00:22; übergangsbetr.;    Heizen      ; 1; 0; 77°; 176°; 182°; 99%; 38%; 64%; 94%; 90.7%; 435°; 72°; 30°; 63%; 5°; 27°; 26°; 37°; 38°; 127°; 127°; 11176; 17134h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.82A; 
2025-04-01; 00:01:22; übergangsbetr.;    Heizen      ; 1; 0; 77°; 177°; 183°; 100%; 39%; 65%; 95%; 90.6%; 436°; 72°; 30°; 63%; 5°; 26°; 26°; 37°; 39°; 127°; 127°; 11176; 17134h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.33A; 
2025-04-01; 00:02:22; übergangsbetr.;    Heizen      ; 1; 0; 77°; 178°; 183°; 99%; 38%; 64%; 94%; 90.4%; 436°; 72°; 30°; 63%; 5°; 26°; 26°; 37°; 40°; 127°; 127°; 11176; 17134h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 3.10A; 
2025-04-01; 00:03:21; übergangsbetr.;    Heizen      ; 1; 0; 77°; 177°; 184°; 100%; 39%; 65%; 95%; 90.2%; 436°; 72°; 30°; 64%; 5°; 26°; 26°; 37°; 40°; 127°; 127°; 11176; 17135h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.48A; 
2025-04-01; 00:04:21; übergangsbetr.;    Heizen      ; 1; 0; 77°; 176°; 184°; 100%; 39%; 65%; 95%; 90.1%; 436°; 72°; 31°; 64%; 5°; 26°; 26°; 37°; 37°; 127°; 127°; 11176; 17135h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 3.01A; 
2025-04-01; 00:05:21; übergangsbetr.;    Heizen      ; 1; 0; 77°; 175°; 184°; 100%; 39%; 65%; 95%; 89.9%; 436°; 72°; 32°; 64%; 5°; 26°; 26°; 37°; 33°; 127°; 127°; 11176; 17135h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.65A; 
2025-04-01; 00:06:21; übergangsbetr.;    Heizen      ; 1; 0; 77°; 176°; 185°; 100%; 39%; 65%; 95%; 89.8%; 436°; 72°; 32°; 64%; 5°; 26°; 29°; 37°; 31°; 127°; 127°; 11176; 17135h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 3.10A; 
2025-04-01; 00:07:21; übergangsbetr.;    Heizen      ; 1; 0; 77°; 177°; 186°; 100%; 39%; 65%; 95%; 89.6%; 437°; 72°; 32°; 64%; 5°; 26°; 30°; 37°; 32°; 127°; 127°; 11176; 17135h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 3.05A; 
2025-04-01; 00:08:21; übergangsbetr.;    Heizen      ; 1; 0; 77°; 176°; 186°; 100%; 39%; 65%; 95%; 89.4%; 438°; 74°; 34°; 64%; 5°; 26°; 30°; 37°; 38°; 127°; 127°; 11176; 17135h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.84A; 
2025-04-01; 00:09:21; übergangsbetr.;    Heizen      ; 1; 0; 77°; 176°; 186°; 100%; 39%; 65%; 95%; 89.3%; 438°; 74°; 35°; 64%; 5°; 26°; 28°; 37°; 44°; 127°; 127°; 11176; 17135h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.67A; 
2025-04-01; 00:10:21; übergangsbetr.;    Heizen      ; 1; 0; 77°; 177°; 187°; 100%; 39%; 65%; 95%; 89.1%; 438°; 74°; 36°; 64%; 5°; 26°; 28°; 37°; 44°; 127°; 127°; 11176; 17135h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.59A; 
