Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-03-16; 00:00:14; übergangsbetr.;    Heizen      ; 1; 0; 78°; 164°; 166°; 90%; 35%; 60%; 86%; 94.6%; 425°; 68°; 25°; 64%; 4°; 28°; 28°; 38°; 37°; 127°; 127°; 11156; 17101h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.95A; 
2025-03-16; 00:01:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 96%; 37%; 63%; 91%; 94.4%; 425°; 69°; 25°; 60%; 4°; 27°; 28°; 38°; 38°; 127°; 127°; 11156; 17101h; 37°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.35A; 
2025-03-16; 00:02:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 171°; 98%; 38%; 64%; 93%; 94.3%; 426°; 70°; 25°; 61%; 4°; 27°; 28°; 38°; 38°; 127°; 127°; 11156; 17101h; 37°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.52A; 
2025-03-16; 00:03:14; übergangsbetr.;    Heizen      ; 1; 0; 78°; 167°; 171°; 98%; 38%; 64%; 93%; 94.1%; 426°; 70°; 25°; 67%; 4°; 27°; 28°; 38°; 38°; 127°; 127°; 11156; 17101h; 37°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.33A; 
2025-03-16; 00:04:14; übergangsbetr.;    Heizen      ; 1; 0; 78°; 169°; 173°; 98%; 38%; 64%; 93%; 93.9%; 426°; 71°; 25°; 68%; 4°; 27°; 28°; 38°; 38°; 127°; 127°; 11156; 17101h; 37°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.76A; 
2025-03-16; 00:05:14; übergangsbetr.;    Heizen      ; 1; 0; 78°; 171°; 174°; 98%; 39%; 65%; 95%; 93.8%; 428°; 72°; 26°; 68%; 4°; 27°; 27°; 38°; 38°; 127°; 127°; 11156; 17101h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.97A; 
2025-03-16; 00:06:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 171°; 176°; 100%; 39%; 65%; 95%; 93.6%; 428°; 72°; 26°; 64%; 4°; 27°; 28°; 38°; 38°; 127°; 127°; 11156; 17101h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.33A; 
2025-03-16; 00:07:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 171°; 177°; 100%; 39%; 65%; 95%; 93.5%; 428°; 72°; 26°; 64%; 4°; 27°; 28°; 38°; 38°; 127°; 127°; 11156; 17101h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.80A; 
2025-03-16; 00:08:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 172°; 178°; 100%; 39%; 65%; 95%; 93.3%; 429°; 72°; 26°; 64%; 4°; 27°; 28°; 38°; 38°; 127°; 127°; 11156; 17101h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.12A; 
2025-03-16; 00:09:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 171°; 178°; 100%; 39%; 65%; 95%; 93.1%; 429°; 72°; 26°; 64%; 4°; 27°; 28°; 38°; 38°; 127°; 127°; 11156; 17101h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.29A; 
2025-03-16; 00:10:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 171°; 178°; 100%; 39%; 65%; 95%; 93.0%; 429°; 74°; 26°; 64%; 4°; 27°; 31°; 38°; 38°; 127°; 127°; 11156; 17101h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.05A; 
2025-03-16; 00:11:14; übergangsbetr.;    Heizen      ; 1; 0; 78°; 172°; 176°; 98%; 38%; 64%; 93%; 92.8%; 429°; 74°; 26°; 69%; 4°; 27°; 27°; 38°; 37°; 127°; 127°; 11156; 17101h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.40A; 
2025-03-16; 00:12:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 173°; 180°; 100%; 39%; 65%; 95%; 92.7%; 430°; 74°; 26°; 65%; 4°; 27°; 26°; 38°; 37°; 127°; 127°; 11156; 17101h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.50A; 
2025-03-16; 00:13:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 173°; 181°; 100%; 39%; 65%; 95%; 92.5%; 430°; 74°; 26°; 66%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 11156; 17101h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.12A; 
2025-03-16; 00:14:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 175°; 182°; 98%; 38%; 64%; 93%; 92.3%; 431°; 74°; 26°; 66%; 4°; 27°; 26°; 38°; 37°; 127°; 127°; 11156; 17101h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.50A; 
2025-03-16; 00:15:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 175°; 183°; 99%; 38%; 64%; 94%; 92.2%; 432°; 74°; 26°; 67%; 4°; 27°; 26°; 38°; 37°; 127°; 127°; 11156; 17101h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.12A; 
2025-03-16; 00:16:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 175°; 184°; 100%; 39%; 65%; 95%; 92.0%; 432°; 75°; 26°; 67%; 4°; 27°; 26°; 38°; 37°; 127°; 127°; 11156; 17102h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.14A; 
2025-03-16; 00:17:14; übergangsbetr.;    Heizen      ; 1; 0; 77°; 175°; 184°; 100%; 39%; 65%; 95%; 91.9%; 433°; 75°; 28°; 67%; 4°; 27°; 26°; 38°; 37°; 127°; 127°; 11156; 17102h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.95A; 
