Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-03-23; 00:00:16; übergangsbetr.;    Heizen      ; 1; 0; 77°; 177°; 185°; 99%; 38%; 64%; 94%; 73.1%; 437°; 72°; 56°; 63%; 10°; 24°; 36°; 33°; 48°; 127°; 127°; 11165; 17118h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.67A; 
2025-03-23; 00:01:16; übergangsbetr.;    Heizen      ; 1; 0; 77°; 177°; 186°; 99%; 38%; 64%; 94%; 73.0%; 437°; 74°; 58°; 62%; 10°; 24°; 36°; 33°; 52°; 127°; 127°; 11165; 17118h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.25A; 
2025-03-23; 00:02:16; übergangsbetr.;    Heizen      ; 1; 0; 76°; 176°; 187°; 100%; 39%; 65%; 95%; 72.8%; 437°; 74°; 59°; 56%; 9°; 24°; 36°; 33°; 51°; 127°; 127°; 11165; 17118h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.42A; 
2025-03-23; 00:03:16; übergangsbetr.;    Heizen      ; 1; 0; 77°; 176°; 186°; 100%; 39%; 65%; 95%; 72.7%; 437°; 74°; 61°; 60%; 9°; 24°; 36°; 33°; 47°; 127°; 127°; 11165; 17118h; 40°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 3.01A; 
2025-03-23; 00:04:16; übergangsbetr.;    Heizen      ; 1; 0; 77°; 177°; 186°; 98%; 39%; 65%; 95%; 72.5%; 439°; 74°; 62°; 60%; 9°; 24°; 36°; 33°; 43°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.95A; 
2025-03-23; 00:05:16; übergangsbetr.;    Heizen      ; 1; 0; 77°; 177°; 187°; 98%; 38%; 64%; 93%; 72.3%; 439°; 74°; 64°; 58%; 9°; 24°; 36°; 33°; 40°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 3.05A; 
2025-03-23; 00:06:16; übergangsbetr.;    Heizen      ; 1; 0; 77°; 176°; 186°; 99%; 38%; 64%; 94%; 72.2%; 439°; 74°; 64°; 58%; 9°; 24°; 36°; 33°; 37°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.10A; 
2025-03-23; 00:07:16; übergangsbetr.;    Heizen      ; 1; 0; 77°; 177°; 188°; 100%; 38%; 64%; 93%; 72.0%; 439°; 75°; 66°; 58%; 9°; 24°; 36°; 33°; 36°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.78A; 
2025-03-23; 00:08:16; übergangsbetr.;    Heizen      ; 1; 0; 77°; 178°; 188°; 100%; 39%; 65%; 95%; 71.9%; 439°; 76°; 66°; 58%; 9°; 24°; 36°; 33°; 34°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.21A; 
2025-03-23; 00:09:16; übergangsbetr.;    Heizen      ; 1; 0; 77°; 178°; 188°; 100%; 39%; 65%; 95%; 71.7%; 439°; 76°; 66°; 58%; 9°; 24°; 36°; 33°; 32°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 3.78A; 
2025-03-23; 00:10:16; übergangsbetr.;    Heizen      ; 1; 0; 77°; 178°; 189°; 100%; 39%; 65%; 95%; 71.5%; 439°; 76°; 67°; 59%; 9°; 24°; 36°; 33°; 32°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 3.03A; 
2025-03-23; 00:11:16; übergangsbetr.;    Heizen      ; 1; 0; 78°; 178°; 188°; 100%; 39%; 65%; 95%; 71.4%; 439°; 76°; 68°; 66%; 9°; 24°; 36°; 33°; 32°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.91A; 
2025-03-23; 00:12:16; übergangsbetr.;    Heizen      ; 1; 0; 78°; 179°; 188°; 99%; 38%; 64%; 94%; 71.2%; 439°; 76°; 68°; 68%; 9°; 24°; 36°; 33°; 31°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.10A; 
2025-03-23; 00:13:16; übergangsbetr.;    Heizen      ; 1; 0; 78°; 179°; 188°; 100%; 39%; 65%; 95%; 71.0%; 439°; 77°; 69°; 71%; 9°; 24°; 36°; 33°; 31°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.50A; 
2025-03-23; 00:14:16; übergangsbetr.;    Heizen      ; 1; 0; 78°; 178°; 188°; 100%; 39%; 65%; 95%; 70.9%; 440°; 77°; 70°; 73%; 9°; 24°; 36°; 33°; 30°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.72A; 
2025-03-23; 00:15:16; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 179°; 187°; 100%; 35%; 40%; 0%; 70.8%; 440°; 77°; 71°; 83%; 9°; 24°; 36°; 33°; 30°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.97A; 
2025-03-23; 00:16:16; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 167°; 188°; 100%; 35%; 40%; 0%; 70.8%; 439°; 78°; 72°; 90%; 8°; 24°; 36°; 34°; 30°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.97A; 
2025-03-23; 00:17:16; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 156°; 189°; 100%; 35%; 40%; 0%; 70.8%; 439°; 78°; 72°; 90%; 9°; 24°; 36°; 34°; 32°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.06A; 
2025-03-23; 00:18:16; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 147°; 190°; 100%; 35%; 40%; 0%; 70.8%; 438°; 78°; 74°; 95%; 9°; 24°; 37°; 34°; 40°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.80A; 
2025-03-23; 00:19:16; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 139°; 185°; 100%; 35%; 40%; 0%; 70.8%; 436°; 77°; 74°; 100%; 8°; 24°; 36°; 34°; 48°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 2.12A; 
2025-03-23; 00:20:16; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 132°; 188°; 99%; 35%; 40%; 0%; 70.8%; 435°; 77°; 75°; 0%; 8°; 24°; 37°; 34°; 54°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.19A; 
2025-03-23; 00:21:16; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 127°; 184°; 100%; 35%; 40%; 0%; 70.8%; 433°; 77°; 76°; 100%; 8°; 24°; 37°; 34°; 55°; 127°; 127°; 11165; 17118h; 41°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 1.99A; 
2025-03-23; 00:22:16; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 122°; 184°; 100%; 35%; 40%; 0%; 70.8%; 432°; 77°; 76°; 100%; 8°; 24°; 36°; 34°; 52°; 127°; 127°; 11165; 17118h; 41°; 80°; 32°; 12%; AUS; OFFEN; TROCKEN; 2.08A; 
2025-03-23; 00:23:16; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 118°; 184°; 100%; 35%; 40%; 0%; 70.8%; 430°; 77°; 76°; 100%; 8°; 24°; 36°; 34°; 47°; 127°; 127°; 11165; 17118h; 41°; 80°; 32°; 12%; AUS; OFFEN; TROCKEN; 1.68A; 
2025-03-23; 00:24:16; übergangsbetr.; Abst.Warten   1; 1; 0; 80°; 115°; 184°; 98%; 35%; 40%; 0%; 70.8%; 430°; 77°; 76°; 100%; 8°; 24°; 36°; 34°; 42°; 127°; 127°; 11165; 17118h; 42°; 80°; 32°; 12%; AUS; OFFEN; TROCKEN; 2.04A; 
2025-03-23; 00:25:16; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 112°; 186°; 100%; 0%; 0%; 0%; 70.8%; 428°; 77°; 76°; 0%; 8°; 24°; 36°; 34°; 39°; 127°; 127°; 11165; 17118h; 42°; 80°; 32°; 12%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-03-23; 00:26:16; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 111°; 186°; 100%; 0%; 0%; 0%; 70.8%; 427°; 77°; 76°; 0%; 8°; 24°; 36°; 34°; 37°; 127°; 127°; 11165; 17118h; 42°; 80°; 32°; 12%; AUS; OFFEN; TROCKEN; 0.19A; 
2025-03-23; 00:27:16; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 110°; 185°; 99%; 0%; 0%; 0%; 70.8%; 426°; 77°; 76°; 100%; 8°; 24°; 36°; 34°; 35°; 127°; 127°; 11165; 17118h; 42°; 80°; 32°; 12%; AUS; OFFEN; TROCKEN; 0.49A; 
2025-03-23; 00:28:16; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 108°; 185°; 100%; 0%; 0%; 0%; 70.8%; 425°; 77°; 76°; 100%; 8°; 24°; 37°; 34°; 33°; 127°; 127°; 11165; 17118h; 42°; 80°; 32°; 12%; AUS; OFFEN; TROCKEN; 0.53A; 
2025-03-23; 00:29:16; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 105°; 185°; 100%; 0%; 0%; 0%; 70.8%; 425°; 77°; 76°; 100%; 8°; 24°; 36°; 34°; 32°; 127°; 127°; 11165; 17118h; 42°; 80°; 31°; 12%; AUS; OFFEN; TROCKEN; 0.57A; 
