Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-07-14; 00:00:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2025-07-14; 00:01:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.17A; 
2025-07-14; 00:02:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2025-07-14; 00:03:07; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2025-07-14; 00:04:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.17A; 
2025-07-14; 00:05:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.17A; 
2025-07-14; 00:06:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2025-07-14; 00:07:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2025-07-14; 00:08:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.17A; 
2025-07-14; 00:09:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2025-07-14; 00:10:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 24°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2025-07-14; 00:11:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 27°; 37°; 54%; 0%; 0%; 0%; 97.6%; 397°; 36°; 30°; 0%; 20°; 0°; 23°; 0°; 22°; 127°; 127°; 11206; 17183h; 27°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
