Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-04-25; 00:00:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 40°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.19A; 
2024-04-25; 00:01:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 44°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.23A; 
2024-04-25; 00:02:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 42°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.23A; 
2024-04-25; 00:03:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 35°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.23A; 
2024-04-25; 00:04:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 32°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:05:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 36°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.28A; 
2024-04-25; 00:06:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 41°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.21A; 
2024-04-25; 00:07:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 44°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.30A; 
2024-04-25; 00:08:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 41°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:09:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 36°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.21A; 
2024-04-25; 00:10:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 33°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.28A; 
2024-04-25; 00:11:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 34°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:12:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 40°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.23A; 
2024-04-25; 00:13:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 43°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:14:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 29°; 0%; -0°; 30°; 29°; 38°; 42°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:15:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 36°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.17A; 
2024-04-25; 00:16:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 33°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.21A; 
2024-04-25; 00:17:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 34°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.28A; 
2024-04-25; 00:18:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 57°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 40°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:19:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 42°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.21A; 
2024-04-25; 00:20:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 43°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:21:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 38°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:22:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 35°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.30A; 
2024-04-25; 00:23:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 34°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.28A; 
2024-04-25; 00:24:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 34°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.28A; 
2024-04-25; 00:25:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 39°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.19A; 
2024-04-25; 00:26:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 43°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.19A; 
2024-04-25; 00:27:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 50°; 60°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 44°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:28:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 37°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.17A; 
2024-04-25; 00:29:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 72°; 28°; 0%; -0°; 30°; 29°; 38°; 33°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.15A; 
2024-04-25; 00:30:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 29°; 38°; 32°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.15A; 
2024-04-25; 00:31:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 29°; 38°; 38°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:32:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 29°; 38°; 44°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.28A; 
2024-04-25; 00:33:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 29°; 38°; 44°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.19A; 
2024-04-25; 00:34:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 29°; 38°; 36°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.30A; 
2024-04-25; 00:35:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 29°; 38°; 32°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.25A; 
2024-04-25; 00:36:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 29°; 38°; 32°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.21A; 
2024-04-25; 00:37:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 30°; 38°; 39°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.30A; 
2024-04-25; 00:38:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 30°; 38°; 45°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.21A; 
2024-04-25; 00:39:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 29°; 38°; 44°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.32A; 
2024-04-25; 00:40:12; übergangsbetr.;   Brenner Aus  ; 1; 0; 56°; 49°; 59°; 68%; 0%; 0%; 0%; 100.0%; 403°; 71°; 28°; 0%; -0°; 30°; 29°; 38°; 35°; 127°; 127°; 10872; 16630h; 34°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.30A; 
