Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-12-07; 00:00:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 72°; 29°; 0%; 5°; 27°; 28°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-07; 00:01:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 72°; 29°; 0%; 5°; 26°; 27°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-12-07; 00:02:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 71°; 28°; 0%; 5°; 26°; 27°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.21A; 
2024-12-07; 00:03:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 71°; 28°; 0%; 5°; 26°; 27°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-12-07; 00:04:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 71°; 28°; 0%; 5°; 26°; 27°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-12-07; 00:05:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 70°; 28°; 0%; 5°; 26°; 27°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-12-07; 00:06:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 70°; 28°; 0%; 5°; 26°; 27°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.19A; 
2024-12-07; 00:07:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 70°; 28°; 0%; 5°; 26°; 27°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-12-07; 00:08:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 70°; 28°; 0%; 5°; 26°; 27°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-07; 00:09:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 70°; 28°; 0%; 4°; 26°; 27°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-07; 00:10:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 52°; 62°; 70%; 0%; 0%; 0%; 100.0%; 405°; 70°; 28°; 0%; 4°; 26°; 27°; 37°; 37°; 127°; 127°; 10977; 16803h; 36°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.21A; 
