Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-09; 00:00:29; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 104°; 158°; 100%; 0%; 0%; 0%; 87.3%; 424°; 78°; 77°; 0%; -0°; 30°; 29°; 40°; 40°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-09; 00:01:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 102°; 157°; 100%; 0%; 0%; 0%; 87.3%; 422°; 78°; 77°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-09; 00:02:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 100°; 159°; 100%; 0%; 0%; 0%; 87.3%; 421°; 78°; 77°; 0%; -0°; 29°; 29°; 40°; 42°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-09; 00:03:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 98°; 159°; 98%; 0%; 0%; 0%; 87.3%; 421°; 78°; 77°; 0%; -0°; 29°; 28°; 40°; 38°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-09; 00:04:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 97°; 157°; 98%; 0%; 0%; 0%; 87.3%; 420°; 78°; 77°; 0%; -0°; 29°; 28°; 40°; 39°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.55A; 
2025-01-09; 00:05:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 95°; 156°; 96%; 0%; 0%; 0%; 87.3%; 420°; 78°; 77°; 0%; -0°; 29°; 28°; 40°; 42°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-09; 00:06:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 94°; 158°; 96%; 0%; 0%; 0%; 87.3%; 419°; 78°; 77°; 0%; -0°; 29°; 28°; 40°; 39°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-09; 00:07:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 92°; 156°; 95%; 0%; 0%; 0%; 87.3%; 419°; 78°; 77°; 0%; -0°; 29°; 28°; 40°; 39°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-09; 00:08:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 91°; 156°; 94%; 0%; 0%; 0%; 87.3%; 418°; 78°; 77°; 0%; -0°; 29°; 28°; 40°; 39°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-09; 00:09:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 90°; 157°; 93%; 0%; 0%; 0%; 87.3%; 418°; 78°; 77°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-09; 00:10:28; übergangsbetr.; Abst.Warten   2; 1; 0; 82°; 89°; 151°; 90%; 0%; 0%; 0%; 87.3%; 417°; 78°; 77°; 100%; -0°; 29°; 28°; 40°; 39°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-09; 00:11:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 89°; 155°; 93%; 0%; 0%; 0%; 87.3%; 416°; 78°; 77°; 0%; -0°; 29°; 30°; 40°; 39°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-09; 00:12:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 88°; 155°; 92%; 0%; 0%; 0%; 87.3%; 416°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 38°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-09; 00:13:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 87°; 155°; 90%; 0%; 0%; 0%; 87.3%; 416°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 39°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-09; 00:14:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 85°; 154°; 90%; 0%; 0%; 0%; 87.3%; 414°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.19A; 
2025-01-09; 00:15:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 85°; 154°; 90%; 0%; 0%; 0%; 87.3%; 414°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-09; 00:16:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 84°; 154°; 90%; 0%; 0%; 0%; 87.3%; 414°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.30A; 
2025-01-09; 00:17:28; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 83°; 153°; 89%; 0%; 0%; 0%; 87.3%; 414°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.19A; 
2025-01-09; 00:18:28; übergangsbetr.;  Feuerhaltung  ; 1; 0; 80°; 83°; 153°; 89%; 0%; 0%; 0%; 87.2%; 413°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.88A; 
2025-01-09; 00:19:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 83°; 155°; 89%; 0%; 0%; 0%; 87.2%; 413°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-09; 00:20:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 82°; 153°; 88%; 0%; 0%; 0%; 87.2%; 413°; 78°; 76°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:21:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 82°; 152°; 88%; 0%; 0%; 0%; 87.2%; 413°; 78°; 76°; 0%; -0°; 29°; 30°; 40°; 41°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:22:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 81°; 152°; 88%; 0%; 0%; 0%; 87.2%; 413°; 78°; 76°; 0%; -0°; 29°; 30°; 40°; 40°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:23:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 81°; 152°; 88%; 0%; 0%; 0%; 87.2%; 413°; 78°; 76°; 0%; -0°; 29°; 32°; 40°; 40°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-01-09; 00:24:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 81°; 153°; 88%; 0%; 0%; 0%; 87.2%; 412°; 78°; 76°; 0%; -0°; 29°; 29°; 40°; 38°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-09; 00:25:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 80°; 151°; 87%; 0%; 0%; 0%; 87.2%; 412°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 00:26:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 80°; 151°; 87%; 0%; 0%; 0%; 87.2%; 412°; 78°; 76°; 100%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.55A; 
2025-01-09; 00:27:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 79°; 157°; 86%; 0%; 0%; 0%; 87.2%; 412°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:28:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 79°; 156°; 86%; 0%; 0%; 0%; 87.2%; 412°; 78°; 76°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-09; 00:29:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 79°; 156°; 86%; 0%; 0%; 0%; 87.2%; 412°; 77°; 76°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
