Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-06-30; 00:00:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.19A; 
2024-06-30; 00:01:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-30; 00:02:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-30; 00:03:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-30; 00:04:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-30; 00:05:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-30; 00:06:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-30; 00:07:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-30; 00:08:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-30; 00:09:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 17%; AUS; ZU; TROCKEN; 0.17A; 
2024-06-30; 00:10:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 23°; 0°; 24°; 0°; 22°; 127°; 127°; 10886; 16645h; 28°; 80°; 23°; 17%; AUS; ZU; TROCKEN; 0.15A; 
