Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-07-12; 00:00:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 245°; 82%; 0%; 0%; 0%; 83.5%; 409°; 74°; 72°; 0%; 21°; 0°; 30°; 0°; 37°; 127°; 127°; 10889; 16651h; 38°; 80°; 28°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-07-12; 00:01:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 247°; 82%; 0%; 0%; 0%; 83.5%; 409°; 74°; 72°; 0%; 21°; 0°; 30°; 0°; 37°; 127°; 127°; 10889; 16651h; 38°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.15A; 
2024-07-12; 00:02:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 249°; 82%; 0%; 0%; 0%; 83.5%; 409°; 74°; 72°; 0%; 21°; 0°; 30°; 0°; 37°; 127°; 127°; 10889; 16651h; 38°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.17A; 
2024-07-12; 00:03:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 250°; 82%; 0%; 0%; 0%; 83.5%; 409°; 74°; 72°; 0%; 21°; 0°; 31°; 0°; 37°; 127°; 127°; 10889; 16651h; 38°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.15A; 
2024-07-12; 00:04:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 250°; 82%; 0%; 0%; 0%; 83.5%; 409°; 74°; 72°; 0%; 21°; 0°; 31°; 0°; 37°; 127°; 127°; 10889; 16651h; 38°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.17A; 
2024-07-12; 00:05:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 250°; 81%; 0%; 0%; 0%; 83.5%; 409°; 74°; 72°; 0%; 21°; 0°; 31°; 0°; 37°; 127°; 127°; 10889; 16651h; 38°; 80°; 28°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-07-12; 00:06:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 83.5%; 408°; 74°; 72°; 0%; 21°; 0°; 31°; 0°; 37°; 127°; 127°; 10889; 16651h; 37°; 80°; 28°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-07-12; 00:07:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 83.5%; 408°; 74°; 72°; 0%; 21°; 0°; 30°; 0°; 37°; 127°; 127°; 10889; 16651h; 37°; 80°; 28°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-07-12; 00:08:30; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 83.5%; 408°; 74°; 72°; 0%; 21°; 0°; 31°; 0°; 37°; 127°; 127°; 10889; 16651h; 37°; 80°; 28°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-07-12; 00:09:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 83.5%; 408°; 74°; 72°; 0%; 21°; 0°; 31°; 0°; 37°; 127°; 127°; 10889; 16651h; 37°; 80°; 28°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-07-12; 00:10:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 83.5%; 408°; 74°; 72°; 0%; 21°; 0°; 31°; 0°; 37°; 127°; 127°; 10889; 16651h; 37°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.15A; 
2024-07-12; 00:11:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 83.5%; 408°; 74°; 72°; 0%; 21°; 0°; 31°; 0°; 37°; 127°; 127°; 10889; 16651h; 37°; 80°; 28°; 14%; AN; ZU; TROCKEN; 0.17A; 
2024-07-12; 00:12:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 250°; 80%; 0%; 0%; 0%; 83.5%; 408°; 74°; 72°; 0%; 20°; 0°; 31°; 0°; 37°; 127°; 127°; 10889; 16651h; 37°; 80°; 28°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-07-12; 00:13:31; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 250°; 80%; 0%; 0%; 0%; 83.5%; 408°; 74°; 72°; 0%; 21°; 0°; 31°; 0°; 37°; 127°; 127°; 10889; 16651h; 37°; 80°; 28°; 15%; AN; ZU; TROCKEN; 0.17A; 
