Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-12-18; 00:00:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 144°; 150°; 83%; 35%; 56%; 81%; 95.7%; 421°; 58°; 25°; 56%; 5°; 27°; 28°; 36°; 37°; 127°; 127°; 10997; 16836h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.40A; 
2024-12-18; 00:01:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 147°; 152°; 84%; 35%; 57%; 82%; 95.6%; 421°; 60°; 25°; 56%; 5°; 26°; 27°; 36°; 38°; 127°; 127°; 10997; 16836h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.91A; 
2024-12-18; 00:02:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 154°; 85%; 35%; 57%; 82%; 95.4%; 422°; 62°; 25°; 57%; 5°; 26°; 26°; 36°; 38°; 127°; 127°; 10997; 16836h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.46A; 
2024-12-18; 00:03:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 89%; 35%; 59%; 85%; 95.3%; 422°; 63°; 25°; 57%; 4°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.38A; 
2024-12-18; 00:04:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 152°; 157°; 89%; 35%; 59%; 86%; 95.1%; 423°; 64°; 25°; 57%; 5°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 37°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.52A; 
2024-12-18; 00:05:25; übergangsbetr.;    Heizen      ; 1; 0; 78°; 155°; 157°; 88%; 35%; 60%; 86%; 95.0%; 425°; 66°; 25°; 62%; 4°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 1.76A; 
2024-12-18; 00:06:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 155°; 161°; 93%; 35%; 61%; 89%; 94.9%; 425°; 66°; 25°; 59%; 4°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.97A; 
2024-12-18; 00:07:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 157°; 163°; 95%; 36%; 62%; 90%; 94.7%; 425°; 68°; 25°; 59%; 4°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.69A; 
2024-12-18; 00:08:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 157°; 164°; 98%; 38%; 64%; 93%; 94.5%; 426°; 68°; 25°; 59%; 5°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.97A; 
2024-12-18; 00:09:25; übergangsbetr.;    Heizen      ; 1; 0; 78°; 160°; 163°; 96%; 37%; 63%; 91%; 94.4%; 426°; 70°; 25°; 64%; 4°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.38A; 
2024-12-18; 00:10:25; übergangsbetr.;    Heizen      ; 1; 0; 78°; 162°; 165°; 97%; 37%; 63%; 92%; 94.2%; 427°; 70°; 25°; 66%; 5°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.93A; 
2024-12-18; 00:11:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 167°; 100%; 39%; 65%; 95%; 94.1%; 427°; 71°; 25°; 62%; 5°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.76A; 
2024-12-18; 00:12:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 167°; 99%; 39%; 65%; 95%; 93.9%; 428°; 71°; 25°; 62%; 5°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.88A; 
2024-12-18; 00:13:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 168°; 100%; 38%; 64%; 93%; 93.8%; 429°; 72°; 26°; 62%; 5°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.88A; 
2024-12-18; 00:14:25; übergangsbetr.;    Heizen      ; 1; 0; 78°; 163°; 167°; 98%; 38%; 64%; 94%; 93.6%; 429°; 72°; 26°; 68%; 5°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.14A; 
2024-12-18; 00:15:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 169°; 99%; 38%; 64%; 94%; 93.4%; 429°; 72°; 26°; 64%; 4°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.99A; 
2024-12-18; 00:16:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 100%; 38%; 64%; 93%; 93.3%; 429°; 72°; 26°; 64%; 4°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.72A; 
2024-12-18; 00:17:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 100%; 39%; 65%; 95%; 93.1%; 430°; 74°; 26°; 65%; 5°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.99A; 
2024-12-18; 00:18:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 100%; 39%; 65%; 95%; 93.0%; 430°; 74°; 26°; 65%; 5°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.87A; 
2024-12-18; 00:19:25; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 170°; 100%; 39%; 65%; 95%; 92.8%; 430°; 74°; 26°; 65%; 5°; 26°; 26°; 36°; 36°; 127°; 127°; 10997; 16836h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.52A; 
