Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-07-22; 00:00:50; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 20°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-07-22; 00:01:50; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 20°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 16%; AN; ZU; TROCKEN; 0.15A; 
2024-07-22; 00:02:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-07-22; 00:03:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 20°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-07-22; 00:04:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-07-22; 00:05:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-07-22; 00:06:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 16%; AN; ZU; TROCKEN; 0.17A; 
2024-07-22; 00:07:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-07-22; 00:08:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-07-22; 00:09:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-07-22; 00:10:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 16%; AN; ZU; TROCKEN; 0.19A; 
2024-07-22; 00:11:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-07-22; 00:12:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-07-22; 00:13:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 40°; 32°; 0%; 19°; 0°; 25°; 0°; 24°; 127°; 127°; 10890; 16653h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
