Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-10-22; 00:17:40; übergangsbetr.;    Heizen      ; 1; 0; 68°; 126°; 128°; 93%; 35%; 61%; 89%; 97.9%; 408°; 34°; 26°; 40%; 7°; 26°; 32°; 30°; 32°; 127°; 127°; 10914; 16697h; 30°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.67A; 
2024-10-22; 00:18:40; übergangsbetr.;    Heizen      ; 1; 0; 70°; 128°; 125°; 87%; 35%; 58%; 84%; 97.7%; 409°; 34°; 26°; 43%; 7°; 26°; 32°; 30°; 38°; 127°; 127°; 10914; 16697h; 30°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 2.31A; 
2024-10-22; 00:19:40; übergangsbetr.;    Heizen      ; 1; 0; 72°; 130°; 124°; 83%; 35%; 56%; 81%; 97.6%; 410°; 34°; 26°; 41%; 7°; 26°; 32°; 30°; 37°; 127°; 127°; 10914; 16697h; 31°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 3.08A; 
2024-10-22; 00:20:40; übergangsbetr.;    Heizen      ; 1; 0; 74°; 130°; 121°; 78%; 35%; 54%; 77%; 97.4%; 410°; 34°; 26°; 47%; 7°; 26°; 32°; 30°; 35°; 127°; 127°; 10914; 16697h; 31°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.31A; 
2024-10-22; 00:21:40; übergangsbetr.;    Heizen      ; 1; 0; 74°; 129°; 125°; 81%; 35%; 55%; 79%; 97.3%; 411°; 34°; 26°; 40%; 7°; 26°; 32°; 30°; 33°; 127°; 127°; 10914; 16697h; 31°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 2.02A; 
2024-10-22; 00:22:40; übergangsbetr.;    Heizen      ; 1; 0; 75°; 130°; 122°; 75%; 35%; 52%; 74%; 97.2%; 411°; 34°; 26°; 45%; 7°; 26°; 32°; 30°; 32°; 127°; 127°; 10914; 16697h; 31°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 2.93A; 
2024-10-22; 00:23:40; übergangsbetr.;    Heizen      ; 1; 0; 76°; 130°; 124°; 74%; 35%; 52%; 73%; 97.0%; 412°; 34°; 26°; 43%; 7°; 26°; 32°; 30°; 32°; 127°; 127°; 10914; 16697h; 31°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 2.69A; 
2024-10-22; 00:24:40; übergangsbetr.;    Heizen      ; 1; 0; 76°; 128°; 123°; 73%; 35%; 51%; 72%; 96.9%; 413°; 35°; 26°; 49%; 7°; 26°; 32°; 30°; 32°; 127°; 127°; 10914; 16697h; 31°; 80°; 25°; 15%; AUS; OFFEN; TROCKEN; 2.27A; 
2024-10-22; 00:25:40; übergangsbetr.;    Heizen      ; 1; 0; 77°; 127°; 122°; 71%; 35%; 50%; 71%; 96.8%; 413°; 35°; 26°; 52%; 7°; 26°; 32°; 30°; 32°; 127°; 127°; 10914; 16697h; 31°; 80°; 25°; 16%; AUS; OFFEN; TROCKEN; 2.80A; 
2024-10-22; 00:26:40; übergangsbetr.;    Heizen      ; 1; 0; 77°; 128°; 124°; 71%; 35%; 50%; 71%; 96.7%; 413°; 36°; 26°; 52%; 7°; 26°; 32°; 30°; 32°; 127°; 127°; 10914; 16697h; 31°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.55A; 
2024-10-22; 00:27:39; übergangsbetr.;    Heizen      ; 1; 0; 76°; 128°; 128°; 74%; 35%; 52%; 74%; 96.6%; 413°; 36°; 26°; 47%; 7°; 26°; 32°; 30°; 32°; 127°; 127°; 10914; 16697h; 31°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 3.08A; 
2024-10-22; 00:28:39; übergangsbetr.;    Heizen      ; 1; 0; 76°; 130°; 130°; 74%; 35%; 52%; 73%; 96.4%; 414°; 36°; 26°; 46%; 7°; 26°; 32°; 30°; 31°; 127°; 127°; 10914; 16697h; 32°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 2.72A; 
2024-10-22; 00:29:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 130°; 130°; 74%; 35%; 52%; 73%; 96.3%; 414°; 37°; 28°; 50%; 7°; 26°; 32°; 30°; 31°; 127°; 127°; 10914; 16697h; 32°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.61A; 
2024-10-22; 00:30:40; übergangsbetr.;   Abreinigen   ; 1; 0; 78°; 136°; 128°; 65%; 100%; 100%; 0%; 96.3%; 415°; 38°; 26°; 60%; 7°; 26°; 32°; 30°; 31°; 127°; 127°; 10914; 16697h; 32°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.32A; 
2024-10-22; 00:31:40; übergangsbetr.;   Abreinigen   ; 1; 0; 77°; 134°; 134°; 72%; 100%; 100%; 0%; 96.3%; 415°; 39°; 28°; 50%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16697h; 32°; 80°; 26°; 17%; AUS; OFFEN; TROCKEN; 1.25A; 
2024-10-22; 00:32:40; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 126°; 142°; 91%; 100%; 100%; 0%; 96.3%; 415°; 41°; 28°; 40%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16698h; 32°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.40A; 
2024-10-22; 00:33:40; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 117°; 144°; 100%; 100%; 100%; 0%; 96.3%; 415°; 42°; 28°; 40%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16698h; 32°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.34A; 
2024-10-22; 00:34:40; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 110°; 147°; 100%; 100%; 100%; 0%; 96.3%; 416°; 44°; 28°; 40%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16698h; 33°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.25A; 
2024-10-22; 00:35:40; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 104°; 149°; 100%; 100%; 100%; 100%; 96.2%; 415°; 45°; 28°; 40%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16698h; 33°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 2.27A; 
2024-10-22; 00:36:40; übergangsbetr.;   Abreinigen   ; 1; 0; 75°; 107°; 154°; 99%; 100%; 100%; 100%; 96.0%; 415°; 46°; 28°; 40%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16698h; 33°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 2.33A; 
2024-10-22; 00:37:40; übergangsbetr.;   Abreinigen   ; 1; 0; 75°; 123°; 157°; 98%; 100%; 100%; 100%; 95.8%; 416°; 46°; 28°; 40%; 7°; 26°; 32°; 30°; 30°; 127°; 127°; 10914; 16698h; 34°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 2.27A; 
2024-10-22; 00:38:40; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 136°; 158°; 94%; 100%; 100%; 0%; 95.8%; 417°; 47°; 28°; 40%; 7°; 26°; 32°; 30°; 29°; 127°; 127°; 10914; 16698h; 34°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.27A; 
2024-10-22; 00:39:40; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 131°; 160°; 100%; 100%; 100%; 0%; 95.8%; 417°; 48°; 28°; 40%; 8°; 26°; 32°; 30°; 29°; 127°; 127°; 10914; 16698h; 34°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.36A; 
2024-10-22; 00:40:40; übergangsbetr.;   Abreinigen   ; 1; 0; 77°; 122°; 156°; 100%; 100%; 100%; 0%; 95.8%; 417°; 50°; 28°; 54%; 8°; 26°; 32°; 30°; 29°; 127°; 127°; 10914; 16698h; 34°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.36A; 
2024-10-22; 00:41:40; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 114°; 164°; 100%; 100%; 100%; 0%; 95.8%; 417°; 50°; 28°; 40%; 8°; 26°; 32°; 30°; 28°; 127°; 127°; 10914; 16698h; 34°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.32A; 
2024-10-22; 00:42:40; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 107°; 166°; 100%; 100%; 100%; 0%; 95.8%; 417°; 52°; 28°; 40%; 8°; 26°; 32°; 30°; 28°; 127°; 127°; 10914; 16698h; 34°; 80°; 26°; 16%; AUS; OFFEN; TROCKEN; 1.38A; 
2024-10-22; 00:43:40; übergangsbetr.;    Heizen      ; 1; 0; 76°; 101°; 167°; 100%; 39%; 65%; 95%; 95.7%; 416°; 52°; 28°; 40%; 8°; 26°; 32°; 30°; 28°; 127°; 127°; 10914; 16698h; 34°; 80°; 27°; 16%; AUS; OFFEN; TROCKEN; 2.97A; 
2024-10-22; 00:44:39; übergangsbetr.;    Heizen      ; 1; 0; 75°; 100°; 167°; 100%; 39%; 65%; 95%; 95.5%; 416°; 54°; 28°; 40%; 8°; 26°; 32°; 30°; 28°; 127°; 127°; 10914; 16698h; 34°; 80°; 27°; 15%; AUS; OFFEN; TROCKEN; 1.95A; 
2024-10-22; 00:45:39; übergangsbetr.;    Heizen      ; 1; 0; 75°; 112°; 169°; 99%; 39%; 65%; 95%; 95.3%; 417°; 54°; 28°; 40%; 8°; 26°; 32°; 30°; 28°; 127°; 127°; 10914; 16698h; 35°; 80°; 27°; 16%; AUS; OFFEN; TROCKEN; 2.50A; 
2024-10-22; 00:46:39; übergangsbetr.;    Heizen      ; 1; 0; 76°; 122°; 168°; 100%; 38%; 64%; 93%; 95.2%; 417°; 54°; 28°; 40%; 8°; 26°; 33°; 30°; 28°; 127°; 127°; 10914; 16698h; 35°; 80°; 27°; 16%; AUS; OFFEN; TROCKEN; 2.97A; 
2024-10-22; 00:47:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 131°; 164°; 98%; 38%; 64%; 93%; 95.0%; 418°; 55°; 28°; 55%; 8°; 26°; 33°; 30°; 28°; 127°; 127°; 10914; 16698h; 35°; 80°; 27°; 15%; AUS; OFFEN; TROCKEN; 3.14A; 
2024-10-22; 00:48:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 136°; 163°; 99%; 38%; 64%; 94%; 94.9%; 418°; 56°; 28°; 54%; 8°; 26°; 33°; 30°; 28°; 127°; 127°; 10914; 16698h; 35°; 80°; 27°; 16%; AUS; OFFEN; TROCKEN; 3.12A; 
2024-10-22; 00:49:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 141°; 162°; 99%; 37%; 63%; 92%; 94.7%; 419°; 57°; 28°; 54%; 8°; 26°; 33°; 30°; 29°; 127°; 127°; 10914; 16698h; 35°; 80°; 27°; 15%; AUS; OFFEN; TROCKEN; 3.14A; 
2024-10-22; 00:50:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 142°; 162°; 100%; 39%; 65%; 95%; 94.5%; 420°; 58°; 28°; 54%; 8°; 26°; 33°; 30°; 30°; 127°; 127°; 10914; 16698h; 35°; 80°; 27°; 15%; AUS; OFFEN; TROCKEN; 2.08A; 
2024-10-22; 00:51:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 145°; 161°; 99%; 38%; 64%; 94%; 94.4%; 420°; 58°; 28°; 53%; 8°; 26°; 33°; 30°; 30°; 127°; 127°; 10914; 16698h; 35°; 80°; 27°; 16%; AUS; OFFEN; TROCKEN; 2.84A; 
2024-10-22; 00:52:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 146°; 161°; 100%; 39%; 65%; 95%; 94.2%; 421°; 59°; 28°; 53%; 8°; 26°; 33°; 30°; 30°; 127°; 127°; 10914; 16698h; 35°; 80°; 27°; 15%; AUS; OFFEN; TROCKEN; 3.08A; 
2024-10-22; 00:53:39; übergangsbetr.;    Heizen      ; 1; 0; 78°; 149°; 160°; 97%; 37%; 63%; 92%; 94.1%; 422°; 60°; 28°; 59%; 8°; 26°; 33°; 30°; 30°; 127°; 127°; 10914; 16698h; 36°; 80°; 27°; 15%; AUS; OFFEN; TROCKEN; 2.80A; 
2024-10-22; 00:54:39; übergangsbetr.;    Heizen      ; 1; 0; 78°; 149°; 161°; 98%; 38%; 64%; 93%; 93.9%; 424°; 61°; 28°; 59%; 8°; 26°; 33°; 30°; 31°; 127°; 127°; 10914; 16698h; 36°; 80°; 27°; 15%; AUS; OFFEN; TROCKEN; 2.08A; 
2024-10-22; 00:55:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 150°; 163°; 100%; 38%; 64%; 93%; 93.7%; 424°; 62°; 28°; 55%; 8°; 26°; 34°; 30°; 31°; 127°; 127°; 10914; 16698h; 36°; 80°; 27°; 15%; AUS; OFFEN; TROCKEN; 3.20A; 
2024-10-22; 00:56:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 151°; 165°; 100%; 39%; 65%; 95%; 93.6%; 424°; 62°; 28°; 56%; 8°; 26°; 33°; 30°; 32°; 127°; 127°; 10914; 16698h; 36°; 80°; 28°; 15%; AUS; OFFEN; TROCKEN; 2.14A; 
2024-10-22; 00:57:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 151°; 164°; 100%; 39%; 65%; 95%; 93.4%; 425°; 63°; 28°; 57%; 8°; 26°; 34°; 30°; 32°; 127°; 127°; 10914; 16698h; 36°; 80°; 28°; 15%; AUS; OFFEN; TROCKEN; 2.50A; 
2024-10-22; 00:58:39; übergangsbetr.;    Heizen      ; 1; 0; 78°; 152°; 162°; 98%; 39%; 65%; 95%; 93.3%; 425°; 64°; 28°; 63%; 8°; 26°; 34°; 30°; 32°; 127°; 127°; 10914; 16698h; 36°; 80°; 28°; 15%; AUS; OFFEN; TROCKEN; 2.80A; 
