Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-14; 00:00:29; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 174°; 100%; 39%; 65%; 95%; 91.5%; 431°; 76°; 28°; 66%; -6°; 32°; 32°; 44°; 45°; 127°; 127°; 11050; 16924h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.14A; 
2025-01-14; 00:01:29; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 175°; 100%; 39%; 65%; 95%; 91.3%; 432°; 76°; 28°; 66%; -6°; 32°; 33°; 44°; 46°; 127°; 127°; 11050; 16924h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.57A; 
2025-01-14; 00:02:29; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 176°; 100%; 39%; 65%; 95%; 91.2%; 433°; 76°; 28°; 66%; -6°; 32°; 34°; 44°; 46°; 127°; 127°; 11050; 16924h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.03A; 
2025-01-14; 00:03:29; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 177°; 99%; 38%; 64%; 94%; 91.0%; 434°; 76°; 29°; 66%; -6°; 32°; 34°; 44°; 46°; 127°; 127°; 11050; 16924h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.42A; 
2025-01-14; 00:04:28; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 177°; 100%; 39%; 65%; 95%; 90.9%; 434°; 77°; 29°; 66%; -6°; 32°; 34°; 44°; 45°; 127°; 127°; 11050; 16924h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.88A; 
2025-01-14; 00:05:28; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 177°; 100%; 39%; 65%; 95%; 90.7%; 434°; 77°; 30°; 66%; -6°; 32°; 38°; 44°; 44°; 127°; 127°; 11050; 16924h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.59A; 
2025-01-14; 00:06:29; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 175°; 98%; 38%; 64%; 93%; 90.5%; 434°; 77°; 30°; 65%; -6°; 32°; 31°; 44°; 43°; 127°; 127°; 11050; 16924h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.46A; 
2025-01-14; 00:07:29; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 174°; 97%; 37%; 63%; 92%; 90.4%; 434°; 77°; 30°; 65%; -6°; 32°; 29°; 44°; 43°; 127°; 127°; 11050; 16924h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.29A; 
2025-01-14; 00:08:29; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 175°; 100%; 39%; 65%; 95%; 90.2%; 434°; 77°; 30°; 65%; -6°; 32°; 28°; 44°; 44°; 127°; 127°; 11050; 16924h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.99A; 
2025-01-14; 00:09:29; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 173°; 99%; 38%; 64%; 94%; 90.1%; 434°; 78°; 31°; 65%; -6°; 32°; 28°; 44°; 44°; 127°; 127°; 11050; 16924h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.33A; 
2025-01-14; 00:10:29; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 172°; 98%; 38%; 64%; 93%; 89.9%; 434°; 78°; 32°; 64%; -6°; 32°; 28°; 44°; 44°; 127°; 127°; 11050; 16924h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.72A; 
