Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-09-03; 00:00:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 29°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.17A; 
2024-09-03; 00:01:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 29°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.19A; 
2024-09-03; 00:02:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 29°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.15A; 
2024-09-03; 00:03:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 29°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.17A; 
2024-09-03; 00:04:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 29°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.19A; 
2024-09-03; 00:05:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 29°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.17A; 
2024-09-03; 00:06:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 28°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.15A; 
2024-09-03; 00:07:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 28°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.17A; 
2024-09-03; 00:08:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 29°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.17A; 
2024-09-03; 00:09:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 28°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.15A; 
2024-09-03; 00:10:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 28°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.15A; 
2024-09-03; 00:11:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 29°; 31°; 41°; 56%; 0%; 0%; 0%; 100.0%; 398°; 52°; 40°; 0%; 17°; 0°; 27°; 0°; 26°; 127°; 127°; 10897; 16667h; 31°; 80°; 27°; 14%; AN; ZU; TROCKEN; 0.17A; 
