Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-12-01; 00:00:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 30°; 0%; -4°; 31°; 29°; 43°; 41°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-12-01; 00:01:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 403°; 58°; 30°; 0%; -4°; 31°; 30°; 43°; 41°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 12%; AN; ZU; TROCKEN; 0.25A; 
2024-12-01; 00:02:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 403°; 58°; 30°; 0%; -4°; 31°; 30°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-12-01; 00:03:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 30°; 0%; -4°; 31°; 30°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-12-01; 00:04:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 30°; 0%; -4°; 31°; 31°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-01; 00:05:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 30°; 0%; -4°; 31°; 32°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.19A; 
2024-12-01; 00:06:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 30°; 0%; -4°; 31°; 32°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-01; 00:07:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 30°; 0%; -4°; 31°; 32°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.21A; 
2024-12-01; 00:08:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 30°; 0%; -4°; 31°; 32°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.21A; 
2024-12-01; 00:09:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 30°; 0%; -4°; 31°; 38°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-12-01; 00:10:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 29°; 0%; -4°; 31°; 31°; 43°; 43°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.30A; 
2024-12-01; 00:11:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 29°; 0%; -4°; 31°; 30°; 43°; 43°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-01; 00:12:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 58°; 29°; 0%; -4°; 31°; 29°; 43°; 44°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-01; 00:13:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 57°; 29°; 0%; -4°; 31°; 28°; 43°; 44°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.30A; 
2024-12-01; 00:14:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 57°; 29°; 0%; -4°; 31°; 28°; 43°; 44°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-12-01; 00:15:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 57°; 29°; 0%; -4°; 31°; 29°; 43°; 43°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.21A; 
2024-12-01; 00:16:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 57°; 29°; 0%; -4°; 31°; 30°; 43°; 43°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-12-01; 00:17:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 403°; 57°; 29°; 0%; -4°; 31°; 30°; 43°; 43°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-01; 00:18:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 56°; 29°; 0%; -4°; 31°; 32°; 43°; 43°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.30A; 
2024-12-01; 00:19:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 403°; 56°; 29°; 0%; -4°; 31°; 32°; 43°; 43°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-12-01; 00:20:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 56°; 29°; 0%; -4°; 31°; 32°; 43°; 43°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-01; 00:21:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 56°; 29°; 0%; -4°; 31°; 32°; 43°; 43°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-12-01; 00:22:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 56°; 29°; 0%; -4°; 31°; 32°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-01; 00:23:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 56°; 29°; 0%; -4°; 31°; 34°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-12-01; 00:24:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 56°; 29°; 0%; -4°; 31°; 31°; 43°; 42°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-12-01; 00:25:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 56°; 29°; 0%; -4°; 31°; 30°; 43°; 43°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-12-01; 00:26:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 55°; 29°; 0%; -4°; 31°; 29°; 43°; 44°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.30A; 
2024-12-01; 00:27:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 55°; 29°; 0%; -4°; 31°; 29°; 43°; 44°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-12-01; 00:28:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 55°; 29°; 0%; -4°; 31°; 29°; 43°; 44°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-12-01; 00:29:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 54°; 47°; 57°; 66%; 0%; 0%; 0%; 100.0%; 404°; 55°; 29°; 0%; -4°; 31°; 29°; 43°; 44°; 127°; 127°; 10966; 16785h; 35°; 80°; 29°; 13%; AN; ZU; TROCKEN; 0.25A; 
