Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-11-03; 00:00:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 34°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.55A; 
2024-11-03; 00:01:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 34°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-11-03; 00:02:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 34°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-11-03; 00:03:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-11-03; 00:04:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-11-03; 00:05:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-11-03; 00:06:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2024-11-03; 00:07:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2024-11-03; 00:08:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-11-03; 00:09:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2024-11-03; 00:10:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-03; 00:11:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 250°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-11-03; 00:12:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 120°; 70%; 0%; 0%; 0%; 100.0%; 405°; 72°; 42°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-11-03; 00:13:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 57°; 120°; 73%; 0%; 0%; 0%; 100.0%; 405°; 72°; 41°; 0%; 8°; 24°; 25°; 34°; 33°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-11-03; 00:14:53; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 57°; 67°; 24%; 0%; 0%; 0%; 100.0%; 405°; 72°; 41°; 0%; 8°; 24°; 25°; 34°; 32°; 127°; 127°; 10924; 16717h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
