Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-08-18; 00:00:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.32A; 
2024-08-18; 00:01:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:02:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:03:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:04:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-08-18; 00:05:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:06:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:07:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.19A; 
2024-08-18; 00:08:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:09:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-08-18; 00:10:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:11:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:12:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-08-18; 00:13:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:14:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:15:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:16:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-08-18; 00:17:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:18:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.19A; 
2024-08-18; 00:19:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-08-18; 00:20:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:21:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-08-18; 00:22:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-08-18; 00:23:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:24:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:25:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 25°; 15%; AN; ZU; TROCKEN; 0.17A; 
2024-08-18; 00:26:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 398°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.15A; 
2024-08-18; 00:27:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 24°; 29°; 39°; 55%; 0%; 0%; 0%; 100.0%; 397°; 36°; 30°; 0%; 20°; 0°; 26°; 0°; 24°; 127°; 127°; 10894; 16661h; 29°; 80°; 26°; 15%; AN; ZU; TROCKEN; 0.17A; 
