Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-27; 00:00:49; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 173°; 100%; 39%; 65%; 95%; 92.4%; 430°; 75°; 26°; 65%; 0°; 29°; 30°; 40°; 41°; 127°; 127°; 11076; 16966h; 39°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.23A; 
2025-01-27; 00:01:49; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 173°; 100%; 39%; 65%; 95%; 92.3%; 430°; 75°; 26°; 65%; 0°; 29°; 31°; 40°; 41°; 127°; 127°; 11076; 16966h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.78A; 
2025-01-27; 00:02:49; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 173°; 99%; 38%; 64%; 94%; 92.1%; 430°; 75°; 26°; 65%; 0°; 29°; 31°; 40°; 40°; 127°; 127°; 11076; 16966h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.86A; 
2025-01-27; 00:03:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 173°; 99%; 38%; 64%; 94%; 91.9%; 430°; 76°; 26°; 65%; 0°; 29°; 31°; 40°; 40°; 127°; 127°; 11076; 16966h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.97A; 
2025-01-27; 00:04:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 174°; 100%; 39%; 65%; 95%; 91.8%; 431°; 76°; 26°; 65%; 0°; 29°; 32°; 40°; 40°; 127°; 127°; 11076; 16966h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.97A; 
2025-01-27; 00:05:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 174°; 99%; 38%; 64%; 94%; 91.6%; 431°; 76°; 26°; 65%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.03A; 
2025-01-27; 00:06:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 175°; 100%; 39%; 65%; 95%; 91.5%; 432°; 76°; 26°; 65%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.78A; 
2025-01-27; 00:07:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 175°; 99%; 38%; 64%; 94%; 91.3%; 432°; 76°; 26°; 65%; 0°; 29°; 27°; 40°; 41°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.76A; 
2025-01-27; 00:08:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 175°; 100%; 39%; 65%; 95%; 91.1%; 432°; 76°; 26°; 65%; 0°; 29°; 26°; 40°; 40°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.05A; 
2025-01-27; 00:09:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 175°; 100%; 39%; 65%; 95%; 91.0%; 432°; 76°; 28°; 65%; 0°; 29°; 26°; 40°; 40°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.12A; 
2025-01-27; 00:10:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 175°; 100%; 39%; 65%; 95%; 90.8%; 432°; 76°; 28°; 65%; 0°; 29°; 26°; 40°; 40°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.29A; 
2025-01-27; 00:11:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 176°; 100%; 39%; 65%; 95%; 90.7%; 432°; 77°; 28°; 65%; 0°; 29°; 26°; 40°; 40°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.10A; 
2025-01-27; 00:12:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 177°; 100%; 39%; 65%; 95%; 90.5%; 432°; 77°; 28°; 65%; 0°; 29°; 27°; 40°; 40°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.82A; 
2025-01-27; 00:13:48; übergangsbetr.;    Heizen      ; 1; 0; 78°; 167°; 176°; 99%; 38%; 64%; 93%; 90.3%; 432°; 77°; 29°; 71%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.69A; 
2025-01-27; 00:14:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 178°; 100%; 38%; 64%; 93%; 90.2%; 433°; 77°; 30°; 66%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.16A; 
2025-01-27; 00:15:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 179°; 100%; 39%; 65%; 95%; 90.0%; 434°; 77°; 30°; 66%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.25A; 
2025-01-27; 00:16:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 180°; 100%; 39%; 65%; 95%; 89.9%; 434°; 77°; 31°; 67%; 0°; 29°; 31°; 40°; 41°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.05A; 
2025-01-27; 00:17:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 181°; 100%; 39%; 65%; 95%; 89.7%; 435°; 77°; 32°; 67%; 0°; 29°; 32°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.93A; 
2025-01-27; 00:18:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 181°; 100%; 39%; 65%; 95%; 89.5%; 435°; 78°; 34°; 67%; 0°; 29°; 29°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.86A; 
2025-01-27; 00:19:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 181°; 100%; 39%; 65%; 95%; 89.4%; 435°; 78°; 36°; 67%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.88A; 
2025-01-27; 00:20:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 181°; 100%; 39%; 65%; 95%; 89.2%; 435°; 78°; 38°; 67%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.88A; 
2025-01-27; 00:21:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 181°; 99%; 38%; 64%; 94%; 89.0%; 435°; 78°; 40°; 67%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.44A; 
2025-01-27; 00:22:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 181°; 100%; 39%; 65%; 95%; 88.9%; 435°; 78°; 43°; 67%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.67A; 
2025-01-27; 00:23:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 180°; 100%; 39%; 65%; 95%; 88.7%; 435°; 78°; 46°; 66%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.57A; 
2025-01-27; 00:24:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 179°; 100%; 39%; 65%; 95%; 88.6%; 435°; 78°; 50°; 65%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.44A; 
2025-01-27; 00:25:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 180°; 100%; 39%; 65%; 95%; 88.4%; 435°; 78°; 52°; 65%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.12A; 
2025-01-27; 00:26:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 177°; 98%; 39%; 65%; 95%; 88.2%; 436°; 78°; 56°; 64%; 0°; 29°; 30°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.21A; 
2025-01-27; 00:27:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 178°; 100%; 39%; 65%; 95%; 88.1%; 436°; 78°; 58°; 64%; 0°; 29°; 30°; 40°; 38°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.25A; 
2025-01-27; 00:28:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 176°; 97%; 37%; 63%; 92%; 87.9%; 436°; 78°; 62°; 64%; 0°; 29°; 30°; 40°; 38°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.21A; 
2025-01-27; 00:29:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 178°; 100%; 39%; 65%; 95%; 87.8%; 436°; 78°; 64°; 64%; 0°; 29°; 36°; 40°; 39°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.95A; 
2025-01-27; 00:30:48; übergangsbetr.;   Abreinigen   ; 1; 0; 77°; 172°; 180°; 98%; 100%; 100%; 0%; 87.7%; 436°; 78°; 66°; 63%; 0°; 29°; 30°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.40A; 
2025-01-27; 00:31:48; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 163°; 184°; 100%; 100%; 100%; 0%; 87.7%; 436°; 78°; 68°; 56%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.34A; 
2025-01-27; 00:32:48; übergangsbetr.;   Abreinigen   ; 1; 0; 78°; 153°; 179°; 100%; 100%; 100%; 0%; 87.7%; 436°; 79°; 70°; 75%; 0°; 29°; 27°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.51A; 
2025-01-27; 00:33:48; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 142°; 177°; 96%; 35%; 40%; 0%; 87.7%; 436°; 79°; 72°; 100%; 0°; 29°; 27°; 40°; 38°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.53A; 
2025-01-27; 00:34:48; übergangsbetr.; Abst.Warten   1; 1; 0; 75°; 131°; 195°; 100%; 35%; 40%; 0%; 87.7%; 434°; 78°; 72°; 0%; 0°; 29°; 27°; 40°; 44°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.48A; 
2025-01-27; 00:35:48; übergangsbetr.; Abst.Warten   1; 1; 0; 77°; 123°; 188°; 100%; 35%; 40%; 0%; 87.7%; 432°; 78°; 72°; 69%; 0°; 29°; 26°; 40°; 39°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.06A; 
2025-01-27; 00:36:48; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 117°; 186°; 100%; 35%; 40%; 0%; 87.7%; 431°; 78°; 74°; 100%; 0°; 29°; 26°; 40°; 36°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.99A; 
2025-01-27; 00:37:48; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 112°; 188°; 100%; 35%; 40%; 0%; 87.7%; 428°; 78°; 74°; 0%; 0°; 29°; 26°; 40°; 36°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.61A; 
2025-01-27; 00:38:48; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 109°; 189°; 100%; 35%; 40%; 0%; 87.7%; 427°; 78°; 74°; 0%; 0°; 29°; 27°; 40°; 40°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.51A; 
2025-01-27; 00:39:48; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 106°; 192°; 100%; 35%; 40%; 0%; 87.7%; 426°; 78°; 74°; 0%; 0°; 29°; 27°; 40°; 42°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.02A; 
2025-01-27; 00:40:48; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 104°; 187°; 100%; 35%; 40%; 0%; 87.7%; 425°; 78°; 75°; 0%; 0°; 29°; 28°; 40°; 38°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.82A; 
2025-01-27; 00:41:48; übergangsbetr.; Abst.Warten   1; 1; 0; 79°; 101°; 188°; 97%; 35%; 40%; 0%; 87.7%; 424°; 78°; 75°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.97A; 
2025-01-27; 00:42:48; übergangsbetr.; Abst.Warten   1; 1; 0; 78°; 99°; 193°; 99%; 35%; 40%; 0%; 87.7%; 422°; 78°; 75°; 0%; 0°; 29°; 36°; 40°; 41°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.48A; 
2025-01-27; 00:43:48; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 97°; 193°; 98%; 0%; 0%; 0%; 87.7%; 421°; 78°; 75°; 0%; 0°; 29°; 32°; 40°; 42°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-27; 00:44:48; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 96°; 190°; 97%; 0%; 0%; 0%; 87.7%; 421°; 78°; 75°; 0%; 0°; 29°; 29°; 40°; 38°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-27; 00:45:49; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 96°; 191°; 97%; 0%; 0%; 0%; 87.7%; 420°; 78°; 75°; 0%; 0°; 29°; 28°; 40°; 38°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-27; 00:46:49; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 94°; 196°; 96%; 0%; 0%; 0%; 87.7%; 419°; 77°; 75°; 0%; 0°; 29°; 29°; 40°; 44°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-27; 00:47:48; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 93°; 193°; 95%; 0%; 0%; 0%; 87.7%; 419°; 77°; 75°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-27; 00:48:48; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 92°; 197°; 95%; 0%; 0%; 0%; 87.7%; 418°; 77°; 75°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-27; 00:49:48; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 91°; 194°; 94%; 0%; 0%; 0%; 87.7%; 418°; 77°; 75°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-27; 00:50:48; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 90°; 195°; 93%; 0%; 0%; 0%; 87.7%; 418°; 77°; 75°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-27; 00:51:48; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 89°; 200°; 93%; 0%; 0%; 0%; 87.7%; 416°; 77°; 75°; 0%; 0°; 29°; 28°; 40°; 38°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.30A; 
2025-01-27; 00:52:48; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 88°; 196°; 92%; 0%; 0%; 0%; 87.7%; 416°; 77°; 75°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.30A; 
2025-01-27; 00:53:48; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 87°; 197°; 91%; 0%; 0%; 0%; 87.7%; 416°; 77°; 75°; 0%; 0°; 29°; 28°; 40°; 39°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-27; 00:54:48; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 86°; 198°; 89%; 0%; 0%; 0%; 87.7%; 415°; 77°; 75°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-27; 00:55:48; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 84°; 199°; 90%; 0%; 0%; 0%; 87.7%; 414°; 77°; 75°; 0%; 0°; 29°; 31°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.32A; 
2025-01-27; 00:56:48; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 84°; 199°; 90%; 0%; 0%; 0%; 87.7%; 414°; 77°; 75°; 0%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.30A; 
2025-01-27; 00:57:48; übergangsbetr.; Abst.Warten   2; 1; 0; 77°; 83°; 208°; 89%; 0%; 0%; 0%; 87.7%; 414°; 77°; 74°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-27; 00:58:48; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 83°; 206°; 89%; 0%; 0%; 0%; 87.7%; 413°; 77°; 74°; 0%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-27; 00:59:48; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 82°; 207°; 88%; 0%; 0%; 0%; 87.7%; 413°; 77°; 74°; 0%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-27; 01:00:48; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 82°; 210°; 88%; 0%; 0%; 0%; 87.7%; 413°; 77°; 74°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.25A; 
2025-01-27; 01:01:48; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 81°; 210°; 88%; 0%; 0%; 0%; 87.7%; 413°; 77°; 74°; 0%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
2025-01-27; 01:02:48; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 81°; 213°; 88%; 0%; 0%; 0%; 87.7%; 413°; 77°; 74°; 0%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.23A; 
2025-01-27; 01:03:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 80°; 212°; 87%; 0%; 0%; 0%; 87.7%; 412°; 77°; 74°; 0%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-27; 01:04:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 80°; 213°; 87%; 0%; 0%; 0%; 87.7%; 412°; 77°; 74°; 0%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-27; 01:05:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 79°; 221°; 86%; 0%; 0%; 0%; 87.7%; 412°; 77°; 74°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-27; 01:06:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 79°; 227°; 86%; 0%; 0%; 0%; 87.7%; 412°; 77°; 74°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-27; 01:07:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 78°; 225°; 86%; 0%; 0%; 0%; 87.7%; 412°; 77°; 74°; 0%; 0°; 29°; 30°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-27; 01:08:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 78°; 227°; 86%; 0%; 0%; 0%; 87.7%; 412°; 77°; 72°; 0%; 0°; 29°; 30°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-27; 01:09:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 77°; 230°; 84%; 0%; 0%; 0%; 87.7%; 412°; 77°; 72°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-27; 01:10:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 77°; 236°; 83%; 0%; 0%; 0%; 87.7%; 411°; 77°; 72°; 0%; 0°; 29°; 28°; 40°; 38°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-27; 01:11:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 77°; 235°; 83%; 0%; 0%; 0%; 87.7%; 411°; 76°; 72°; 100%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-27; 01:12:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 76°; 242°; 85%; 0%; 0%; 0%; 87.7%; 411°; 76°; 72°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-27; 01:13:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 76°; 244°; 84%; 0%; 0%; 0%; 87.7%; 411°; 76°; 72°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11076; 16967h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-27; 01:14:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 75°; 247°; 84%; 0%; 0%; 0%; 87.7%; 410°; 76°; 72°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-27; 01:15:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 75°; 250°; 83%; 0%; 0%; 0%; 87.7%; 410°; 76°; 72°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-27; 01:16:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 250°; 83%; 0%; 0%; 0%; 87.7%; 410°; 76°; 71°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-27; 01:17:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 250°; 83%; 0%; 0%; 0%; 87.7%; 410°; 76°; 71°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-27; 01:18:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 250°; 83%; 0%; 0%; 0%; 87.7%; 410°; 76°; 70°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-27; 01:19:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 250°; 83%; 0%; 0%; 0%; 87.7%; 410°; 76°; 70°; 0%; 0°; 29°; 28°; 40°; 42°; 127°; 127°; 11076; 16967h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
