Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-04-18; 00:00:11; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 171°; 100%; 39%; 65%; 95%; 92.7%; 418°; 54°; 24°; 62%; 1°; 29°; 29°; 36°; 38°; 127°; 127°; 10864; 16615h; 32°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.55A; 
2024-04-18; 00:01:11; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 171°; 100%; 39%; 65%; 95%; 92.5%; 419°; 55°; 24°; 62%; 1°; 28°; 29°; 36°; 38°; 127°; 127°; 10864; 16615h; 32°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.93A; 
2024-04-18; 00:02:11; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 171°; 100%; 39%; 65%; 95%; 92.3%; 420°; 56°; 24°; 62%; 1°; 28°; 29°; 36°; 38°; 127°; 127°; 10864; 16615h; 32°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.46A; 
2024-04-18; 00:03:11; übergangsbetr.;    Heizen      ; 1; 0; 78°; 166°; 170°; 98%; 38%; 64%; 93%; 92.2%; 420°; 57°; 24°; 67%; 1°; 28°; 29°; 36°; 38°; 127°; 127°; 10864; 16615h; 32°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.31A; 
2024-04-18; 00:04:11; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 174°; 100%; 39%; 65%; 95%; 92.0%; 421°; 58°; 24°; 63%; 1°; 28°; 29°; 36°; 38°; 127°; 127°; 10864; 16615h; 33°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.42A; 
2024-04-18; 00:05:11; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 174°; 100%; 39%; 65%; 95%; 91.9%; 421°; 58°; 24°; 63%; 1°; 28°; 29°; 36°; 38°; 127°; 127°; 10864; 16615h; 33°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.25A; 
2024-04-18; 00:06:11; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 174°; 100%; 39%; 65%; 95%; 91.7%; 421°; 58°; 24°; 63%; 1°; 28°; 29°; 37°; 38°; 127°; 127°; 10864; 16615h; 33°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.97A; 
2024-04-18; 00:07:11; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 174°; 100%; 39%; 65%; 95%; 91.5%; 423°; 59°; 24°; 63%; 1°; 28°; 29°; 37°; 38°; 127°; 127°; 10864; 16615h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.80A; 
2024-04-18; 00:08:11; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 174°; 100%; 39%; 65%; 95%; 91.4%; 423°; 60°; 24°; 63%; 1°; 28°; 29°; 37°; 38°; 127°; 127°; 10864; 16615h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.08A; 
2024-04-18; 00:09:11; übergangsbetr.;    Heizen      ; 1; 0; 78°; 170°; 174°; 98%; 38%; 64%; 93%; 91.2%; 423°; 60°; 24°; 69%; 1°; 28°; 29°; 37°; 38°; 127°; 127°; 10864; 16615h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.03A; 
2024-04-18; 00:10:11; übergangsbetr.;    Heizen      ; 1; 0; 78°; 170°; 175°; 98%; 38%; 64%; 93%; 91.0%; 423°; 61°; 24°; 70%; 1°; 28°; 30°; 37°; 38°; 127°; 127°; 10864; 16615h; 34°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.91A; 
