Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-12; 00:00:30; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 170°; 100%; 39%; 65%; 95%; 94.2%; 426°; 75°; 26°; 62%; -2°; 30°; 30°; 42°; 42°; 127°; 127°; 11046; 16917h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.57A; 
2025-01-12; 00:01:30; übergangsbetr.;    Heizen      ; 1; 0; 78°; 162°; 169°; 98%; 38%; 64%; 93%; 94.0%; 426°; 75°; 26°; 67%; -2°; 30°; 30°; 42°; 42°; 127°; 127°; 11046; 16917h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.61A; 
2025-01-12; 00:02:30; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 172°; 99%; 38%; 64%; 94%; 93.9%; 427°; 76°; 26°; 63%; -2°; 30°; 30°; 42°; 43°; 127°; 127°; 11046; 16917h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.93A; 
2025-01-12; 00:03:30; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 173°; 100%; 39%; 65%; 95%; 93.7%; 427°; 76°; 26°; 64%; -2°; 30°; 30°; 42°; 42°; 127°; 127°; 11046; 16917h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.78A; 
2025-01-12; 00:04:30; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 173°; 100%; 39%; 65%; 95%; 93.6%; 427°; 76°; 26°; 64%; -2°; 30°; 30°; 42°; 42°; 127°; 127°; 11046; 16917h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.05A; 
2025-01-12; 00:05:30; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 173°; 100%; 39%; 65%; 95%; 93.4%; 427°; 76°; 26°; 65%; -2°; 30°; 30°; 42°; 42°; 127°; 127°; 11046; 16917h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.25A; 
2025-01-12; 00:06:29; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 174°; 100%; 38%; 64%; 94%; 93.2%; 428°; 77°; 26°; 65%; -2°; 30°; 30°; 42°; 42°; 127°; 127°; 11046; 16917h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.44A; 
2025-01-12; 00:07:30; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 175°; 100%; 39%; 65%; 95%; 93.1%; 429°; 77°; 26°; 65%; -2°; 30°; 30°; 42°; 42°; 127°; 127°; 11046; 16917h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.76A; 
2025-01-12; 00:08:30; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 175°; 100%; 39%; 65%; 95%; 92.9%; 429°; 77°; 26°; 66%; -2°; 30°; 30°; 42°; 42°; 127°; 127°; 11046; 16917h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.55A; 
2025-01-12; 00:09:30; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 175°; 100%; 39%; 65%; 95%; 92.8%; 429°; 78°; 26°; 66%; -2°; 30°; 30°; 42°; 42°; 127°; 127°; 11046; 16917h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.08A; 
2025-01-12; 00:10:30; übergangsbetr.;    Heizen      ; 1; 0; 78°; 165°; 173°; 98%; 39%; 65%; 95%; 92.6%; 429°; 78°; 26°; 71%; -2°; 30°; 30°; 42°; 42°; 127°; 127°; 11046; 16917h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.44A; 
