Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-06-13; 05:51:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-13; 05:52:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 05:53:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 05:54:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 05:55:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 05:56:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 05:57:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 05:58:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 05:59:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-13; 06:00:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:01:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:02:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:03:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-13; 06:04:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:05:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:06:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:07:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:08:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:09:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:10:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-13; 06:11:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:12:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:13:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:14:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:15:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:16:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:17:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:18:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:19:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:20:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:21:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-13; 06:22:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:23:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:24:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:25:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:26:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:27:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:28:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:29:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:30:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:31:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:32:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:33:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:34:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:35:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:36:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:37:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 8°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:38:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:39:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:40:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:41:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:42:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:43:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:44:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:45:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:46:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:47:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:48:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:49:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:50:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:51:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:52:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:53:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-13; 06:54:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:55:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 06:56:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-13; 06:57:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 9°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:58:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 06:59:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-13; 07:00:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 07:01:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 07:02:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 07:03:14; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 07:04:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 07:05:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 07:06:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 07:07:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 07:08:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 07:09:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 07:10:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.19A; 
2024-06-13; 07:11:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 41°; 32°; 0%; 10°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 26°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
