Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-06-13; 00:28:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:29:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:30:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:31:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:32:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:33:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:34:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:35:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:36:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:37:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:38:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:39:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:40:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:41:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:42:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:43:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
