Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-23; 00:00:10; übergangsbetr.;    Heizen      ; 1; 0; 78°; 150°; 154°; 88%; 35%; 59%; 85%; 83.2%; 422°; 58°; 24°; 62%; -1°; 30°; 29°; 42°; 42°; 127°; 127°; 11069; 16954h; 37°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.69A; 
2025-01-23; 00:01:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 151°; 157°; 92%; 35%; 61%; 88%; 83.1%; 422°; 58°; 24°; 58%; -1°; 30°; 28°; 42°; 42°; 127°; 127°; 11069; 16954h; 37°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.55A; 
2025-01-23; 00:02:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 153°; 159°; 94%; 36%; 62%; 90%; 82.9%; 422°; 60°; 24°; 59%; -1°; 30°; 28°; 42°; 43°; 127°; 127°; 11069; 16954h; 37°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.61A; 
2025-01-23; 00:03:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 155°; 161°; 96%; 37%; 63%; 91%; 82.8%; 423°; 61°; 24°; 60%; -1°; 30°; 28°; 42°; 43°; 127°; 127°; 11069; 16954h; 37°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.61A; 
2025-01-23; 00:04:10; übergangsbetr.;    Heizen      ; 1; 0; 78°; 156°; 161°; 97%; 37%; 63%; 92%; 82.6%; 423°; 62°; 24°; 65%; -1°; 30°; 28°; 42°; 43°; 127°; 127°; 11069; 16954h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.27A; 
2025-01-23; 00:05:10; übergangsbetr.;    Heizen      ; 1; 0; 78°; 158°; 162°; 97%; 37%; 63%; 92%; 82.5%; 423°; 63°; 24°; 66%; -1°; 30°; 28°; 42°; 44°; 127°; 127°; 11069; 16954h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.16A; 
2025-01-23; 00:06:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 159°; 165°; 100%; 39%; 65%; 95%; 82.3%; 424°; 64°; 24°; 62%; -1°; 30°; 29°; 42°; 42°; 127°; 127°; 11069; 16954h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.33A; 
2025-01-23; 00:07:10; übergangsbetr.;    Heizen      ; 1; 0; 78°; 160°; 164°; 99%; 38%; 64%; 93%; 82.1%; 425°; 64°; 24°; 67%; -1°; 30°; 29°; 42°; 42°; 127°; 127°; 11069; 16954h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.57A; 
2025-01-23; 00:08:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 160°; 166°; 100%; 39%; 65%; 95%; 82.0%; 425°; 66°; 24°; 62%; -1°; 30°; 30°; 42°; 42°; 127°; 127°; 11069; 16954h; 37°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.14A; 
2025-01-23; 00:09:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 167°; 100%; 39%; 65%; 95%; 81.8%; 426°; 66°; 24°; 62%; -1°; 30°; 30°; 42°; 42°; 127°; 127°; 11069; 16954h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.16A; 
2025-01-23; 00:10:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 168°; 100%; 39%; 65%; 95%; 81.7%; 427°; 66°; 24°; 63%; -1°; 30°; 32°; 42°; 42°; 127°; 127°; 11069; 16954h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.42A; 
2025-01-23; 00:11:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 168°; 100%; 39%; 65%; 95%; 81.5%; 427°; 67°; 24°; 63%; -1°; 30°; 28°; 42°; 42°; 127°; 127°; 11069; 16954h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.23A; 
2025-01-23; 00:12:10; übergangsbetr.;    Heizen      ; 1; 0; 78°; 163°; 168°; 100%; 38%; 64%; 94%; 81.3%; 427°; 68°; 24°; 68%; -1°; 30°; 28°; 42°; 42°; 127°; 127°; 11069; 16954h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 2.29A; 
2025-01-23; 00:13:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 163°; 168°; 100%; 39%; 65%; 95%; 81.2%; 427°; 68°; 24°; 64%; -1°; 30°; 28°; 42°; 42°; 127°; 127°; 11069; 16954h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.01A; 
2025-01-23; 00:14:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 169°; 100%; 39%; 65%; 95%; 81.0%; 428°; 69°; 24°; 64%; -1°; 30°; 28°; 42°; 40°; 127°; 127°; 11069; 16954h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.10A; 
2025-01-23; 00:15:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 169°; 100%; 39%; 65%; 95%; 80.9%; 428°; 69°; 24°; 65%; -1°; 30°; 28°; 42°; 40°; 127°; 127°; 11069; 16954h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.05A; 
2025-01-23; 00:16:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 162°; 169°; 100%; 39%; 65%; 95%; 80.7%; 428°; 70°; 24°; 65%; -1°; 30°; 28°; 42°; 39°; 127°; 127°; 11069; 16954h; 38°; 80°; 29°; 13%; AUS; OFFEN; TROCKEN; 3.12A; 
2025-01-23; 00:17:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 164°; 170°; 100%; 39%; 65%; 95%; 80.5%; 428°; 70°; 24°; 65%; -1°; 30°; 28°; 42°; 39°; 127°; 127°; 11069; 16955h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.08A; 
2025-01-23; 00:18:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 172°; 100%; 39%; 65%; 95%; 80.4%; 428°; 70°; 24°; 65%; -1°; 30°; 29°; 42°; 39°; 127°; 127°; 11069; 16955h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.93A; 
2025-01-23; 00:19:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 173°; 100%; 39%; 65%; 95%; 80.2%; 430°; 71°; 24°; 65%; -1°; 30°; 30°; 42°; 40°; 127°; 127°; 11069; 16955h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.69A; 
2025-01-23; 00:20:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 173°; 100%; 39%; 65%; 95%; 80.1%; 430°; 71°; 24°; 65%; -1°; 30°; 30°; 42°; 40°; 127°; 127°; 11069; 16955h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.12A; 
2025-01-23; 00:21:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 173°; 100%; 39%; 65%; 95%; 79.9%; 430°; 72°; 24°; 65%; -1°; 30°; 30°; 42°; 42°; 127°; 127°; 11069; 16955h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.33A; 
2025-01-23; 00:22:10; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 173°; 100%; 39%; 65%; 95%; 79.7%; 430°; 72°; 25°; 65%; -1°; 30°; 35°; 42°; 42°; 127°; 127°; 11069; 16955h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.08A; 
