Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-04-21; 00:17:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 91°; 215°; 94%; 0%; 0%; 0%; 83.3%; 417°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.15A; 
2025-04-21; 00:18:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 90°; 216°; 93%; 0%; 0%; 0%; 83.3%; 417°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.13A; 
2025-04-21; 00:19:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 89°; 218°; 93%; 0%; 0%; 0%; 83.3%; 417°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.15A; 
2025-04-21; 00:20:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 89°; 219°; 93%; 0%; 0%; 0%; 83.3%; 416°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.15A; 
2025-04-21; 00:21:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 88°; 221°; 92%; 0%; 0%; 0%; 83.3%; 416°; 74°; 72°; 96%; 8°; 0°; 26°; 0°; 30°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 24%; AUS; OFFEN; TROCKEN; 0.15A; 
2025-04-21; 00:22:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 87°; 222°; 91%; 0%; 0%; 0%; 83.3%; 416°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 31°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.17A; 
2025-04-21; 00:23:13; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 86°; 224°; 91%; 0%; 0%; 0%; 83.3%; 416°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 31°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-04-21; 00:24:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 85°; 227°; 90%; 0%; 0%; 0%; 83.3%; 414°; 74°; 74°; 0%; 8°; 0°; 26°; 0°; 31°; 127°; 127°; 11191; 17159h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.15A; 
2025-04-21; 00:25:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 84°; 229°; 90%; 0%; 0%; 0%; 83.3%; 413°; 74°; 72°; 93%; 8°; 0°; 26°; 0°; 31°; 127°; 127°; 11191; 17159h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.45A; 
2025-04-21; 00:26:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 83°; 233°; 89%; 0%; 0%; 0%; 83.3%; 413°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 31°; 127°; 127°; 11191; 17159h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:27:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 83°; 235°; 89%; 0%; 0%; 0%; 83.3%; 413°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 31°; 127°; 127°; 11191; 17159h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 00:28:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 82°; 237°; 88%; 0%; 0%; 0%; 83.3%; 413°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 31°; 127°; 127°; 11191; 17159h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 00:29:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 82°; 239°; 88%; 0%; 0%; 0%; 83.3%; 412°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 31°; 127°; 127°; 11191; 17159h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:30:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 81°; 241°; 88%; 0%; 0%; 0%; 83.3%; 412°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:31:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 81°; 244°; 88%; 0%; 0%; 0%; 83.3%; 412°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 00:32:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 80°; 246°; 87%; 0%; 0%; 0%; 83.3%; 412°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 00:33:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 80°; 248°; 87%; 0%; 0%; 0%; 83.3%; 412°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:34:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 78°; 250°; 86%; 0%; 0%; 0%; 83.3%; 411°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:35:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 78°; 250°; 86%; 0%; 0%; 0%; 83.3%; 411°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:36:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 78°; 250°; 86%; 0%; 0%; 0%; 83.3%; 410°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
