Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-06-08; 00:00:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:01:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 395°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:02:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 395°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:03:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 395°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.23A; 
2024-06-08; 00:04:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:05:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-08; 00:06:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 395°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:07:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 395°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:08:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:09:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:10:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 395°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:11:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:12:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 395°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:13:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-08; 00:14:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-08; 00:15:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-08; 00:16:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-06-08; 00:17:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 23°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 396°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-08; 00:18:44; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 26°; 36°; 53%; 0%; 0%; 0%; 100.0%; 395°; 42°; 32°; 0%; 14°; 0°; 23°; 0°; 22°; 127°; 127°; 10882; 16641h; 26°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
